display_name,canonical_wikipedia_url,primary_era_bucket,best_rank,worst_rank,rank_range,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,audit_note
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,1.0,48.0,47.0,5.0,1.0,48.0,51.0,39.0,47.0,32.0,40.0,39.0,B=39; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,The placement is too model-dependent to treat as a strong all-model conclusion.
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,4.0,74.0,70.0,31.0,74.0,4.0,4.0,4.0,4.0,33.0,38.0,18.0,B=18; O=5; C=13; W=2,highly_model_sensitive,,mixed_model_sensitivity,The placement is too model-dependent to treat as a strong all-model conclusion.
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,4.0,84.0,80.0,4.0,4.0,76.0,75.0,63.0,84.0,17.0,20.0,20.0,B=20; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,5.0,36.0,31.0,25.0,36.0,5.0,5.0,7.0,5.0,11.0,21.0,8.0,B=8; O=0; C=1; W=12,model_sensitive,,mixed_model_sensitivity,The placement is too model-dependent to treat as a strong all-model conclusion.
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,5.0,83.0,78.0,83.0,56.0,9.0,21.0,5.0,11.0,8.0,16.0,11.0,B=11; O=0; C=2; W=3,highly_model_sensitive,,mixed_model_sensitivity,The placement is too model-dependent to treat as a strong all-model conclusion.
Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,6.0,114.0,108.0,29.0,6.0,103.0,108.0,97.0,114.0,10.0,20.0,20.0,B=20; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,ancient,8.0,198.0,190.0,198.0,114.0,14.0,11.0,8.0,16.0,9.0,13.0,6.0,B=6; O=0; C=1; W=6,highly_model_sensitive,,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work. The commander is not competitive in the strict baseline cohort.
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,10.0,260.0,250.0,,260.0,16.0,14.0,29.0,10.0,8.0,11.0,4.0,B=4; O=3; C=1; W=3,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work. Battle-only restrictions cause a severe collapse.
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,long_nineteenth_century,10.0,921.0,911.0,,921.0,77.0,73.0,10.0,87.0,6.0,11.0,3.0,B=3; O=0; C=2; W=6,highly_model_sensitive,higher_level_dependent | thin_battle_anchor,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work. Battle-only restrictions cause a severe collapse.
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,11.0,83.0,72.0,11.0,18.0,74.0,85.0,61.0,83.0,17.0,19.0,18.0,B=18; O=0; C=0; W=1,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,13.0,87.0,74.0,47.0,87.0,26.0,9.0,23.0,13.0,18.0,25.0,19.0,B=19; O=0; C=1; W=5,highly_model_sensitive,,mixed_model_sensitivity,The placement is too model-dependent to treat as a strong all-model conclusion.
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,13.0,83.0,70.0,13.0,19.0,66.0,72.0,83.0,58.0,11.0,13.0,11.0,B=11; O=0; C=1; W=1,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,13.0,220.0,207.0,,220.0,13.0,25.0,25.0,18.0,9.0,11.0,4.0,B=4; O=0; C=5; W=2,highly_model_sensitive,,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work. Battle-only restrictions cause a severe collapse.
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,14.0,111.0,97.0,111.0,95.0,19.0,33.0,66.0,14.0,11.0,16.0,10.0,B=10; O=0; C=0; W=6,highly_model_sensitive,,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work.
Stepa Stepanović,https://en.wikipedia.org/wiki/Stepa_Stepanovi%C4%87,world_wars,15.0,191.0,176.0,191.0,103.0,15.0,16.0,22.0,36.0,8.0,14.0,6.0,B=6; O=3; C=2; W=3,highly_model_sensitive,,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work. The commander is not competitive in the strict baseline cohort.
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,15.0,183.0,168.0,15.0,25.0,118.0,119.0,183.0,74.0,11.0,11.0,9.0,B=9; O=0; C=2; W=0,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,long_nineteenth_century,16.0,129.0,113.0,60.0,16.0,125.0,130.0,102.0,129.0,9.0,31.0,24.0,B=24; O=0; C=6; W=1,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,17.0,89.0,72.0,51.0,89.0,23.0,19.0,17.0,28.0,20.0,31.0,17.0,B=17; O=0; C=6; W=8,highly_model_sensitive,,mixed_model_sensitivity,The placement is too model-dependent to treat as a strong all-model conclusion.
Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,17.0,142.0,125.0,17.0,30.0,131.0,138.0,115.0,142.0,10.0,11.0,9.0,B=9; O=0; C=0; W=2,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,17.0,292.0,275.0,,292.0,39.0,39.0,84.0,17.0,11.0,15.0,4.0,B=4; O=4; C=3; W=4,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,Higher-level war/campaign/operation pages are doing substantial work. Battle-only restrictions cause a severe collapse.
