display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_weighted,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,1.0,2.0,8.0,7.0,13.0,9.0,99.23157162726008,86.38831992197025,29,24,15,22,26,V=25; D=1; N=0; U=3,B=24; O=0; C=1; W=4,battle_dominant,stable,
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,2.0,3.0,3.0,3.0,2.0,3.0,98.3518776077886,93.12948061448428,74,63,30,56,62,V=51; D=11; N=0; U=12,B=63; O=0; C=6; W=5,battle_dominant,core_stable,
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,3.0,5.0,2.0,2.0,3.0,2.0,98.15716272600834,93.78566203365034,24,18,16,23,20,V=18; D=2; N=0; U=4,B=18; O=0; C=1; W=5,battle_dominant,core_stable,
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,4.0,4.0,76.0,75.0,63.0,84.0,97.11404728789985,76.99487929773227,20,20,4,16,17,V=16; D=1; N=0; U=3,B=20; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,5.0,1.0,48.0,51.0,39.0,47.0,96.80806675938804,79.50097537186052,40,39,18,24,32,V=31; D=0; N=1; U=8,B=39; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,6.0,10.0,41.0,48.0,34.0,43.0,96.60639777468707,80.1213118751524,20,17,10,18,16,V=14; D=2; N=0; U=4,B=17; O=0; C=0; W=3,battle_dominant,model_sensitive,
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,7.0,12.0,21.0,24.0,15.0,27.0,96.23783031988874,82.57802974884174,21,18,8,15,19,V=15; D=4; N=0; U=2,B=18; O=0; C=1; W=2,battle_dominant,stable,
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,8.0,11.0,18.0,18.0,19.0,22.0,96.1578581363004,83.71628871007073,16,13,7,13,12,V=12; D=0; N=0; U=4,B=13; O=0; C=0; W=3,battle_dominant,stable,
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,9.0,14.0,11.0,13.0,11.0,15.0,95.05563282336578,84.95623018775908,39,34,15,11,33,V=26; D=7; N=0; U=6,B=34; O=0; C=0; W=5,battle_dominant,core_stable,
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,10.0,7.0,7.0,17.0,9.0,7.0,95.00347705146035,87.57205559619605,25,19,10,20,21,V=16; D=5; N=0; U=4,B=19; O=0; C=3; W=3,battle_dominant,core_stable,
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,11.0,18.0,74.0,85.0,61.0,83.0,94.31849791376912,77.24006339917094,19,18,9,5,17,V=14; D=3; N=0; U=2,B=18; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,12.0,17.0,17.0,12.0,18.0,20.0,93.47357440890124,83.99597659107535,46,40,20,27,37,V=30; D=7; N=0; U=9,B=40; O=0; C=2; W=4,battle_dominant,core_stable,
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,13.0,19.0,66.0,72.0,83.0,58.0,93.41098748261474,78.00304803706412,13,11,4,7,11,V=10; D=1; N=0; U=2,B=11; O=0; C=1; W=1,battle_dominant,highly_model_sensitive,
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,14.0,13.0,6.0,6.0,6.0,6.0,93.32753824756607,87.83138258961232,27,16,14,26,21,V=20; D=1; N=0; U=6,B=16; O=0; C=3; W=8,battle_dominant,core_stable,
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,15.0,25.0,118.0,119.0,183.0,74.0,92.24617524339361,73.58814923189468,11,9,6,4,11,V=11; D=0; N=0; U=0,B=9; O=0; C=2; W=0,battle_dominant,highly_model_sensitive,
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,16.0,26.0,54.0,55.0,53.0,50.0,92.24617524339361,78.89356254572057,12,9,10,3,12,V=12; D=0; N=0; U=0,B=9; O=2; C=1; W=0,battle_dominant,model_sensitive,
Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,17.0,30.0,131.0,138.0,115.0,142.0,92.12100139082058,72.55157278712508,11,9,4,8,10,V=10; D=0; N=0; U=1,B=9; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,18.0,8.0,1.0,1.0,1.0,1.0,92.02712100139082,95.23872226286271,34,15,27,36,25,V=21; D=0; N=4; U=9,B=15; O=0; C=2; W=17,battle_dominant,stable,
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,19.0,9.0,12.0,10.0,12.0,12.0,91.86022253129347,84.8727139722019,23,17,13,19,12,V=11; D=1; N=0; U=11,B=17; O=0; C=0; W=6,battle_dominant,core_stable,
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,20.0,21.0,117.0,111.0,111.0,82.0,91.54728789986092,73.59509875640089,20,17,8,4,15,V=12; D=1; N=2; U=5,B=17; O=3; C=0; W=0,battle_dominant,highly_model_sensitive,
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,21.0,27.0,10.0,8.0,14.0,8.0,91.10222531293464,85.42136064374543,14,12,11,12,11,V=10; D=1; N=0; U=3,B=12; O=0; C=1; W=1,battle_dominant,stable,
Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,22.0,37.0,132.0,184.0,119.0,148.0,90.36856745479832,72.41684954889053,22,21,5,17,21,V=15; D=6; N=0; U=1,B=21; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,23.0,39.0,32.0,96.0,31.0,39.0,89.86439499304589,81.0438917337235,25,22,14,21,21,V=15; D=5; N=1; U=4,B=22; O=0; C=1; W=2,battle_dominant,stable,
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,24.0,46.0,30.0,103.0,24.0,38.0,89.54450625869262,81.24116069251401,19,15,9,9,18,V=13; D=4; N=1; U=1,B=15; O=0; C=0; W=4,battle_dominant,model_sensitive,
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,25.0,36.0,5.0,5.0,7.0,5.0,89.44019471488178,88.77615215801023,21,8,14,18,11,V=9; D=1; N=1; U=10,B=8; O=0; C=1; W=12,battle_dominant,model_sensitive,
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,26.0,32.0,55.0,59.0,16.0,60.0,89.38803894297635,78.75969275786395,10,9,6,11,8,V=8; D=0; N=0; U=2,B=9; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
John Monash,https://en.wikipedia.org/wiki/John_Monash,world_wars,27.0,33.0,328.0,320.0,307.0,349.0,89.26286509040334,61.957083638137036,9,9,5,4,8,V=8; D=0; N=0; U=1,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,28.0,22.0,24.0,29.0,20.0,26.0,88.8212795549374,82.33942940746158,15,11,13,13,10,V=9; D=1; N=0; U=5,B=11; O=0; C=0; W=4,battle_dominant,core_stable,
Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,29.0,6.0,103.0,108.0,97.0,114.0,88.50834492350485,74.16227749329431,20,20,5,18,10,V=10; D=0; N=0; U=10,B=20; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,30.0,54.0,162.0,349.0,179.0,92.0,86.26216968011126,70.57388441843453,13,12,6,11,11,V=7; D=4; N=0; U=2,B=12; O=0; C=1; W=0,battle_dominant,highly_model_sensitive,
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,31.0,74.0,4.0,4.0,4.0,4.0,86.07788595271211,88.79614728115097,38,18,21,10,33,V=28; D=5; N=0; U=5,B=18; O=5; C=13; W=2,battle_dominant,highly_model_sensitive,
Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,32.0,48.0,104.0,142.0,121.0,93.0,85.96662030598053,74.13374786637408,10,9,5,11,9,V=8; D=1; N=0; U=1,B=9; O=0; C=1; W=0,battle_dominant,highly_model_sensitive,
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,33.0,29.0,222.0,211.0,205.0,78.0,85.615438108484,67.14216044867105,15,12,11,14,10,V=8; D=2; N=0; U=5,B=12; O=3; C=0; W=0,battle_dominant,highly_model_sensitive,
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,34.0,23.0,121.0,122.0,131.0,116.0,85.57371349095966,73.43489392831016,12,10,4,11,8,V=8; D=0; N=0; U=4,B=10; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,35.0,31.0,50.0,74.0,48.0,25.0,85.44853963838663,79.30931480126799,12,12,8,6,8,V=7; D=1; N=0; U=4,B=12; O=0; C=0; W=0,battle_dominant,model_sensitive,
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,36.0,35.0,46.0,60.0,28.0,49.0,85.36509040333796,79.58254084369668,13,10,10,14,10,V=9; D=1; N=0; U=3,B=10; O=0; C=0; W=3,battle_dominant,model_sensitive,
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,37.0,24.0,87.0,93.0,86.0,99.0,85.32336578581362,75.64118507681053,13,10,4,11,7,V=7; D=0; N=0; U=6,B=10; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,38.0,57.0,75.0,101.0,72.0,89.0,85.2712100139082,77.03864910997318,12,10,4,11,9,V=7; D=1; N=1; U=3,B=10; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Karađorđe Petrović,https://en.wikipedia.org/wiki/Kara%C4%91or%C4%91e,revolutionary_napoleonic,39.0,41.0,278.0,277.0,338.0,292.0,84.70445062586927,64.08510119483053,8,8,3,6,7,V=7; D=0; N=0; U=1,B=8; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Charles Mangin,https://en.wikipedia.org/wiki/Charles_Mangin,world_wars,40.0,43.0,167.0,156.0,155.0,171.0,84.45410292072323,70.33052913923434,8,8,6,4,7,V=7; D=0; N=0; U=1,B=8; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Prince Friedrich Karl of Prussia,https://en.wikipedia.org/wiki/Prince_Friedrich_Karl_of_Prussia_(1828-1885),long_nineteenth_century,41.0,44.0,177.0,172.0,158.0,187.0,84.45410292072323,69.80126798341868,9,8,5,7,7,V=7; D=0; N=0; U=2,B=8; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,42.0,15.0,49.0,50.0,43.0,55.0,84.384561891516,79.31394781760545,13,12,7,6,8,V=8; D=0; N=0; U=5,B=12; O=0; C=0; W=1,battle_dominant,model_sensitive,
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,43.0,47.0,52.0,46.0,42.0,57.0,84.00904033379693,79.12350646183859,16,12,11,11,10,V=9; D=1; N=0; U=6,B=12; O=0; C=0; W=4,battle_dominant,stable,
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,44.0,62.0,38.0,54.0,26.0,30.0,83.12934631432545,80.30395025603511,11,9,11,13,9,V=8; D=1; N=0; U=2,B=9; O=0; C=1; W=1,battle_dominant,model_sensitive,
Erich Hoepner,https://en.wikipedia.org/wiki/Erich_Hoepner,world_wars,45.0,45.0,155.0,249.0,136.0,175.0,82.85813630041724,70.80748597902951,11,9,7,4,7,V=6; D=1; N=0; U=4,B=9; O=1; C=1; W=0,battle_dominant,highly_model_sensitive,
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,early_modern,46.0,40.0,29.0,27.0,71.0,37.0,82.52781641168289,81.33418678371129,13,10,9,8,7,V=6; D=0; N=1; U=6,B=10; O=0; C=1; W=2,battle_dominant,highly_model_sensitive,
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,47.0,87.0,26.0,9.0,23.0,13.0,82.48609179415855,81.73079736649599,25,19,20,26,18,V=14; D=3; N=1; U=7,B=19; O=0; C=1; W=5,battle_dominant,highly_model_sensitive,
Julian,https://en.wikipedia.org/wiki/Julian_(emperor),ancient,48.0,99.0,168.0,227.0,162.0,183.0,82.46522948539638,70.28139478176055,12,10,6,5,11,V=8; D=3; N=0; U=1,B=10; O=0; C=1; W=1,battle_dominant,highly_model_sensitive,
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,49.0,55.0,91.0,110.0,178.0,102.0,82.4443671766342,75.31967812728601,11,10,4,11,9,V=8; D=1; N=0; U=2,B=10; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Peter Wittgenstein,https://en.wikipedia.org/wiki/Peter_Wittgenstein,revolutionary_napoleonic,50.0,97.0,28.0,98.0,33.0,21.0,81.84979137691238,81.58900268227264,18,14,9,12,15,V=11; D=4; N=0; U=3,B=14; O=0; C=2; W=2,battle_dominant,highly_model_sensitive,
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,51.0,89.0,23.0,19.0,17.0,28.0,81.70027816411681,82.40356010729091,31,17,17,26,20,V=16; D=3; N=1; U=11,B=17; O=0; C=6; W=8,battle_dominant,highly_model_sensitive,
Arthur Currie,https://en.wikipedia.org/wiki/Arthur_Currie,world_wars,52.0,34.0,297.0,279.0,267.0,308.0,81.40125173852573,63.49865886369178,10,10,7,3,6,V=6; D=0; N=0; U=4,B=10; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,53.0,176.0,45.0,15.0,55.0,88.0,81.26912378303197,79.61094854913436,32,23,16,29,28,V=22; D=6; N=0; U=4,B=23; O=0; C=4; W=5,battle_dominant,highly_model_sensitive,
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,54.0,28.0,138.0,146.0,169.0,85.0,81.1230876216968,71.98975859546452,12,11,4,13,7,V=7; D=0; N=0; U=5,B=11; O=0; C=1; W=0,battle_dominant,highly_model_sensitive,
Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,55.0,20.0,356.0,341.0,334.0,376.0,81.10917941585535,60.83601560594976,14,14,3,4,6,V=6; D=0; N=0; U=8,B=14; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Friedrich Wilhelm Freiherr von Bülow,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Freiherr_von_B%C3%BClow,revolutionary_napoleonic,57.0,49.0,161.0,154.0,165.0,177.0,80.93880389429764,70.63643013899049,11,8,5,7,8,V=8; D=0; N=0; U=3,B=8; O=0; C=2; W=1,battle_dominant,highly_model_sensitive,
Robert Clive,https://en.wikipedia.org/wiki/Robert_Clive,early_modern,58.0,50.0,111.0,133.0,96.0,119.0,80.93880389429764,73.72689587905388,10,8,7,11,8,V=7; D=1; N=0; U=2,B=8; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,long_nineteenth_century,60.0,16.0,125.0,130.0,102.0,129.0,80.93532684283728,72.96561814191661,31,24,5,4,9,V=8; D=0; N=1; U=22,B=24; O=0; C=6; W=1,battle_dominant,highly_model_sensitive,
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,65.0,82.0,65.0,31.0,41.0,68.0,80.07649513212795,78.1332601804438,22,19,12,2,14,V=11; D=2; N=1; U=8,B=19; O=3; C=0; W=0,battle_dominant,highly_model_sensitive,
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,ancient,68.0,64.0,69.0,68.0,36.0,75.0,79.95132127955493,77.5613265057303,9,7,3,4,8,V=8; D=0; N=0; U=1,B=7; O=0; C=0; W=2,battle_dominant,model_sensitive,
Jeremi Wiśniowiecki,https://en.wikipedia.org/wiki/Jeremi_Wi%C5%9Bniowiecki,early_modern,70.0,42.0,194.0,185.0,224.0,200.0,79.61404728789987,68.89356254572057,9,9,6,8,6,V=6; D=0; N=0; U=3,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,72.0,86.0,61.0,69.0,30.0,70.0,79.41933240611961,78.2342111680078,10,7,7,9,8,V=7; D=1; N=0; U=2,B=7; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Stanisław Koniecpolski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Koniecpolski,early_modern,79.0,52.0,82.0,125.0,44.0,94.0,78.65090403337969,76.435503535723,14,11,10,8,7,V=6; D=1; N=0; U=7,B=11; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,82.0,108.0,27.0,23.0,37.0,33.0,78.2162726008345,81.62350646183859,16,8,15,15,11,V=7; D=2; N=2; U=5,B=8; O=0; C=1; W=7,battle_dominant,highly_model_sensitive,
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,83.0,56.0,9.0,21.0,5.0,11.0,77.56606397774688,85.66264325774202,16,11,12,13,8,V=6; D=1; N=1; U=8,B=11; O=0; C=2; W=3,battle_dominant,highly_model_sensitive,
P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,long_nineteenth_century,88.0,38.0,466.0,463.0,467.0,477.0,76.48122392211403,56.69812240916849,18,18,3,4,6,V=5; D=0; N=1; U=12,B=18; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,95.0,88.0,35.0,118.0,40.0,24.0,74.6105702364395,80.60948549134359,19,7,16,29,11,V=6; D=4; N=1; U=8,B=7; O=1; C=5; W=6,battle_dominant,highly_model_sensitive,
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,99.0,68.0,37.0,35.0,35.0,23.0,74.13769123783031,80.46025359668374,20,8,13,10,13,V=12; D=1; N=0; U=7,B=8; O=7; C=5; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,early_modern,101.0,85.0,31.0,30.0,45.0,34.0,73.84561891515995,81.19300170690076,8,6,7,8,7,V=7; D=0; N=0; U=1,B=6; O=0; C=1; W=1,battle_dominant,highly_model_sensitive,
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,105.0,96.0,51.0,44.0,38.0,54.0,73.64394993045899,79.1325286515484,20,11,8,22,9,V=6; D=2; N=1; U=11,B=11; O=5; C=3; W=1,battle_dominant,highly_model_sensitive,
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,111.0,95.0,19.0,33.0,66.0,14.0,72.55563282336578,83.424286759327,16,10,9,18,11,V=9; D=2; N=0; U=5,B=10; O=0; C=0; W=6,battle_dominant,highly_model_sensitive,
Jan Zamoyski,https://en.wikipedia.org/wiki/Jan_Zamoyski,early_modern,115.0,91.0,78.0,78.0,49.0,90.0,72.26008344923505,76.83979517190929,9,6,8,6,6,V=6; D=0; N=0; U=3,B=6; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,119.0,130.0,62.0,65.0,75.0,44.0,72.2287899860918,78.2306754450134,17,8,9,9,14,V=12; D=2; N=0; U=3,B=8; O=8; C=1; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Carlos Coloma,https://en.wikipedia.org/wiki/Carlos_Coloma,early_modern,141.0,119.0,42.0,42.0,27.0,48.0,69.21766342141864,79.99975615703487,7,5,6,8,6,V=6; D=0; N=0; U=1,B=5; O=0; C=1; W=1,battle_dominant,highly_model_sensitive,
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,142.0,120.0,81.0,79.0,74.0,42.0,69.21766342141864,76.64886613021213,16,5,8,13,12,V=11; D=1; N=0; U=4,B=5; O=11; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Holland M. Smith,https://en.wikipedia.org/wiki/Holland_Smith,world_wars,162.0,138.0,40.0,40.0,82.0,46.0,68.17454798331015,80.1392343330895,8,5,5,2,8,V=8; D=0; N=0; U=0,B=5; O=0; C=3; W=0,battle_dominant,highly_model_sensitive,
Abbas the Great,https://en.wikipedia.org/wiki/Abbas_the_Great,early_modern,166.0,173.0,25.0,47.0,21.0,32.0,67.64951321279555,81.99902462813948,15,6,13,12,11,V=8; D=2; N=1; U=4,B=6; O=0; C=1; W=8,battle_dominant,highly_model_sensitive,
Stepa Stepanović,https://en.wikipedia.org/wiki/Stepa_Stepanovi%C4%87,world_wars,191.0,103.0,15.0,16.0,22.0,36.0,64.59318497913769,84.17154352596928,14,6,10,8,8,V=8; D=0; N=0; U=6,B=6; O=3; C=2; W=3,battle_dominant,highly_model_sensitive,
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,ancient,198.0,114.0,14.0,11.0,8.0,16.0,63.46662030598053,84.75835162155572,13,6,8,7,9,V=8; D=0; N=1; U=4,B=6; O=0; C=1; W=6,battle_dominant,highly_model_sensitive,
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,long_nineteenth_century,202.0,118.0,47.0,49.0,52.0,51.0,63.46662030598053,79.50621799561081,10,6,8,9,7,V=7; D=0; N=0; U=3,B=6; O=0; C=0; W=4,battle_dominant,highly_model_sensitive,
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,241.0,162.0,34.0,41.0,68.0,40.0,59.986091794158554,80.71933674713483,9,5,8,9,8,V=7; D=1; N=0; U=1,B=5; O=0; C=0; W=4,battle_dominant,highly_model_sensitive,
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,long_nineteenth_century,248.0,169.0,43.0,45.0,92.0,79.0,59.986091794158554,79.72445744940259,11,5,9,6,7,V=7; D=0; N=0; U=4,B=5; O=1; C=2; W=3,battle_dominant,highly_model_sensitive,
William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,world_wars,250.0,171.0,36.0,36.0,67.0,41.0,59.986091794158554,80.47841989758595,16,5,12,2,13,V=13; D=0; N=0; U=3,B=5; O=4; C=7; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,341.0,209.0,20.0,22.0,32.0,19.0,50.83796940194715,83.14776883686906,11,5,10,8,8,V=8; D=0; N=0; U=3,B=5; O=3; C=2; W=1,battle_dominant,highly_model_sensitive,
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,585.0,1026.0,88.0,28.0,137.0,35.0,29.516689847009733,75.52401853206534,19,5,14,26,9,V=8; D=1; N=0; U=10,B=5; O=5; C=0; W=9,battle_dominant,highly_model_sensitive,higher_level_dependent
Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,,220.0,13.0,25.0,25.0,18.0,,84.83491831260667,11,4,9,11,9,V=7; D=2; N=0; U=2,B=4; O=0; C=5; W=2,battle_dominant,highly_model_sensitive,
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,,260.0,16.0,14.0,29.0,10.0,,84.12570104852476,11,4,9,9,8,V=8; D=0; N=0; U=3,B=4; O=3; C=1; W=3,battle_dominant,highly_model_sensitive,higher_level_dependent
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,early_modern,,591.0,22.0,20.0,50.0,29.0,,82.41246037551817,16,10,12,11,5,V=4; D=0; N=1; U=11,B=10; O=0; C=1; W=5,battle_dominant,highly_model_sensitive,
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,,194.0,33.0,32.0,89.0,31.0,,80.89014874420872,15,4,8,16,10,V=10; D=0; N=0; U=5,B=4; O=7; C=2; W=2,battle_dominant,highly_model_sensitive,higher_level_dependent
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,,292.0,39.0,39.0,84.0,17.0,,80.22031211899537,15,4,13,17,11,V=9; D=2; N=0; U=4,B=4; O=4; C=3; W=4,battle_dominant,highly_model_sensitive,higher_level_dependent
Qasem Soleimani,https://en.wikipedia.org/wiki/Qasem_Soleimani,contemporary,,308.0,44.0,43.0,69.0,45.0,,79.67664594001462,13,6,12,14,4,V=4; D=0; N=0; U=9,B=6; O=3; C=2; W=2,battle_dominant,highly_model_sensitive,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | sparse_higher_level_evidence
Lala Mustafa Pasha,https://en.wikipedia.org/wiki/Lala_Mustafa_Pasha,early_modern,,,70.0,91.0,46.0,81.0,,77.49914654962204,6,2,6,7,6,V=5; D=0; N=1; U=0,B=2; O=0; C=0; W=4,war_campaign_heavy,model_sensitive,
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,long_nineteenth_century,,921.0,77.0,73.0,10.0,87.0,,76.97602535966837,11,3,9,12,6,V=6; D=0; N=0; U=5,B=3; O=0; C=2; W=6,battle_dominant,highly_model_sensitive,higher_level_dependent | thin_battle_anchor
Simeon I of Bulgaria,https://en.wikipedia.org/wiki/Simeon_I_of_Bulgaria,medieval,,232.0,86.0,87.0,47.0,97.0,,75.977566447208,10,4,10,7,5,V=5; D=0; N=0; U=5,B=4; O=0; C=0; W=6,battle_dominant,highly_model_sensitive,
