requested_era,support_band,display_name,canonical_wikipedia_url,primary_era_bucket,best_rank,mean_rank,top25_appearances,rank_baseline_conservative,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_signature,trust_confidence_v2,stability_label,caution_flags,recommendation_note,caveat_note
ancient,high_confidence_upper_band,Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,16.0,30.5,3,38.0,25.0,28.0,"B0=38, B1=16, HT=25, H=28, HF=36, HE=21, HB=55",moderate,model_sensitive,,"Strong ancient signal with meaningful support, but not yet part of the headline core; rank signature B0=38, B1=16, HT=25, H=28, HF=36, HE=21, HB=55.",High-confidence upper-band commander; rank 25 but not stable enough for the headline core.
ancient,high_confidence_upper_band,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,22.0,36.0,3,57.0,23.0,22.0,"B0=57, B1=39, HT=23, H=22, HF=14, HE=23, HB=52",moderate,model_sensitive,,"Strong ancient signal with meaningful support, but not yet part of the headline core; rank signature B0=57, B1=39, HT=23, H=22, HF=14, HE=23, HB=52.",High-confidence upper-band commander; rank 23 but not stable enough for the headline core.
early_modern,model_sensitive_band,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,5.0,28.166666666666668,2,6.0,32.0,37.0,"B0=6, B1=5, HT=32, H=37, HF=38, HE=31, HB=58",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=6, B1=5, HT=32, H=37, HF=38, HE=31, HB=58.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,18.0,40.166666666666664,1,36.0,37.0,35.0,"B0=36, B1=18, HT=37, H=35, HF=47, HE=44, HB=71",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=36, B1=18, HT=37, H=35, HF=47, HE=44, HB=71.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,11.0,45.833333333333336,2,11.0,62.0,66.0,"B0=11, B1=17, HT=62, H=66, HF=81, HE=66, HB=53",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=11, B1=17, HT=62, H=66, HF=81, HE=66, HB=53.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Babur,https://en.wikipedia.org/wiki/Babur,early_modern,7.0,61.333333333333336,1,106.0,77.0,62.0,"B0=106, B1=63, HT=77, H=62, HF=83, HE=53, HB=7",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=106, B1=63, HT=77, H=62, HF=83, HE=53, HB=7.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,14.0,103.0,1,68.0,83.0,132.0,"B0=68, B1=200, HT=83, H=132, HF=75, HE=121, HB=14",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=68, B1=200, HT=83, H=132, HF=75, HE=121, HB=14.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,robust_elite_core,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,2.0,6.333333333333333,6,8.0,2.0,5.0,"B0=8, B1=14, HT=2, H=5, HF=4, HE=3, HB=6",very_high,stable,,"Best-supported early modern candidate; rank signature B0=8, B1=14, HT=2, H=5, HF=4, HE=3, HB=6.",Trust-first v2 rank 2 with very_high confidence; Top-25 in 6 trusted models and rank spread 12.
medieval,model_sensitive_band,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,11.0,28.0,3,13.0,53.0,36.0,"B0=13, B1=11, HT=53, H=36, HF=35, HE=33, HB=22",moderate,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=13, B1=11, HT=53, H=36, HF=35, HE=33, HB=22.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,12.0,36.0,3,20.0,54.0,52.0,"B0=20, B1=21, HT=54, H=52, HF=65, HE=57, HB=12",moderate,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=20, B1=21, HT=54, H=52, HF=65, HE=57, HB=12.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,10.0,40.166666666666664,2,10.0,58.0,50.0,"B0=10, B1=15, HT=58, H=50, HF=57, HE=73, HB=35",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=10, B1=15, HT=58, H=50, HF=57, HE=73, HB=35.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,6.0,49.166666666666664,1,40.0,60.0,57.0,"B0=40, B1=6, HT=60, H=57, HF=58, HE=45, HB=87",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=40, B1=6, HT=60, H=57, HF=58, HE=45, HB=87.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
medieval,model_sensitive_band,Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,19.0,67.33333333333333,2,90.0,19.0,29.0,"B0=90, B1=213, HT=19, H=29, HF=10, HE=25, HB=28",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=90, B1=213, HT=19, H=29, HF=10, HE=25, HB=28.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
modern,model_sensitive_band,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,2.0,21.166666666666668,4,46.0,10.0,2.0,"B0=46, B1=60, HT=10, H=2, HF=2, HE=7, HB=2",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=46, B1=60, HT=10, H=2, HF=2, HE=7, HB=2.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
modern,model_sensitive_band,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,8.0,30.333333333333332,4,44.0,8.0,14.0,"B0=44, B1=79, HT=8, H=14, HF=27, HE=22, HB=15",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=44, B1=79, HT=8, H=14, HF=27, HE=22, HB=15.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
modern,model_sensitive_band,Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,8.0,78.4,2,,66.0,20.0,"B0=NA, B1=263, HT=66, H=20, HF=21, HE=35, HB=8",caution,highly_model_sensitive,higher_level_dependent,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=NA, B1=263, HT=66, H=20, HF=21, HE=35, HB=8.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
modern,robust_elite_core,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,1.0,2.0,6,4.0,1.0,1.0,"B0=4, B1=4, HT=1, H=1, HF=1, HE=1, HB=1",high,core_stable,,"Best-supported modern candidate; rank signature B0=4, B1=4, HT=1, H=1, HF=1, HE=1, HB=1.",Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 3.
modern,robust_elite_core,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,2.0,3.6666666666666665,6,3.0,3.0,6.0,"B0=3, B1=3, HT=3, H=6, HF=5, HE=2, HB=5",very_high,core_stable,,"Best-supported modern candidate; rank signature B0=3, B1=3, HT=3, H=6, HF=5, HE=2, HB=5.",Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 4.
modern,robust_elite_core,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,2.0,8.166666666666666,6,2.0,6.0,9.0,"B0=2, B1=2, HT=6, H=9, HF=9, HE=13, HB=17",high,stable,,"Best-supported modern candidate; rank signature B0=2, B1=2, HT=6, H=9, HF=9, HE=13, HB=17.",Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 15.
modern,robust_elite_core,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,7.0,11.833333333333334,6,21.0,7.0,8.0,"B0=21, B1=8, HT=7, H=8, HF=44, HE=9, HB=18",high,stable,,"Best-supported modern candidate; rank signature B0=21, B1=8, HT=7, H=8, HF=44, HE=9, HB=18.",Trust-first v2 rank 7 with high confidence; Top-25 in 6 trusted models and rank spread 14.
modern,robust_elite_core,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,9.0,12.333333333333334,6,15.0,9.0,10.0,"B0=15, B1=13, HT=9, H=10, HF=8, HE=11, HB=16",high,core_stable,,"Best-supported modern candidate; rank signature B0=15, B1=13, HT=9, H=10, HF=8, HE=11, HB=16.",Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 7.
