display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,current_outcome_category,unresolved_reason
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,battle_102485,Peninsular War,war_conflict_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Eugène de Beauharnais,https://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,battle_32371245,Battle of Caldiero (1809),battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Jean-de-Dieu Soult,https://en.wikipedia.org/wiki/Jean-de-Dieu_Soult,battle_1849129,Battle of Grijó,battle_article,side_b,Anglo-Portuguese victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,battle_10747227,Battles of Bergisel,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Jean-Baptiste Drouet, Comte d'Erlon",https://en.wikipedia.org/wiki/Jean-Baptiste_Drouet%2C_Comte_d%27Erlon,battle_10747227,Battles of Bergisel,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Karl Philipp von Wrede,https://en.wikipedia.org/wiki/Karl_Philipp_von_Wrede,battle_10747227,Battles of Bergisel,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Archduke Charles, Duke of Teschen",https://en.wikipedia.org/wiki/Archduke_Charles%2C_Duke_of_Teschen,battle_866485,War of the Fifth Coalition,war_conflict_article,side_a,French victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Eugène de Beauharnais,https://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,battle_866485,War of the Fifth Coalition,war_conflict_article,side_b,French victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,battle_866485,War of the Fifth Coalition,war_conflict_article,side_b,French victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander I of Russia,https://en.wikipedia.org/wiki/Alexander_I_of_Russia,battle_866485,War of the Fifth Coalition,war_conflict_article,side_b,French victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,battle_867731,Battle of Bussaco,battle_article,side_a,Tactical victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,battle_867731,Battle of Bussaco,battle_article,side_a,Tactical victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Muhammad Ali of Egypt,https://en.wikipedia.org/wiki/Muhammad_Ali_of_Egypt,battle_9182948,Battle of Al-Safra,battle_article,side_a,Wahhabi victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,battle_25413056,Battle of Casal Novo,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,battle_157401,Battle of Fuentes de Oñoro,battle_article,side_b,Anglo-Portuguese victoryBodart 1908,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,battle_2934328,Battle of Großbeeren,battle_article,side_a,Coalition victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Friedrich Wilhelm Freiherr von Bülow,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Freiherr_von_B%C3%BClow,battle_2934328,Battle of Großbeeren,battle_article,side_a,Coalition victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,battle_49818495,Battle of Limonest,battle_article,side_b,Coalition victoryBodart 1908Smith 1998,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Eugène de Beauharnais,https://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,battle_4074078,Battle of the Mincio River (1814),battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,battle_2293357,Swedish–Norwegian War,war_conflict_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,battle_1670766,Battle of Tolentino,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,battle_13125889,Battle of the Panaro,battle_article,side_a,Neapolitan victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Gebhard Leberecht von Blücher,https://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher,battle_215994,Hundred Days,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
"Archduke Charles, Duke of Teschen",https://en.wikipedia.org/wiki/Archduke_Charles%2C_Duke_of_Teschen,battle_215994,Hundred Days,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
William I of the Netherlands,https://en.wikipedia.org/wiki/William_I_of_the_Netherlands,battle_215994,Hundred Days,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander I of Russia,https://en.wikipedia.org/wiki/Alexander_I_of_Russia,battle_215994,Hundred Days,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,battle_215994,Hundred Days,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,battle_215994,Hundred Days,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,battle_215994,Hundred Days,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,battle_215994,Hundred Days,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Jean-de-Dieu Soult,https://en.wikipedia.org/wiki/Jean-de-Dieu_Soult,battle_215994,Hundred Days,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,battle_215994,Hundred Days,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,battle_566640,Neapolitan War,war_conflict_article,side_b,Austrian victory Treaty of Casalanza Murat ousted from Neapolitan throne,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Mahmud II,https://en.wikipedia.org/wiki/Mahmud_II,battle_7115697,Wallachian uprising of 1821,battle_article,side_c,Ottoman military victory Wallachian political victory End of the Phanariote Era,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Theodoros Kolokotronis,https://en.wikipedia.org/wiki/Theodoros_Kolokotronis,battle_6772121,Battle of Dervenakia,battle_article,side_a,Greek victory Destruction of Dramali's army,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,battle_25839238,Battle of Nowshera,battle_article,side_a,Sikh – Durrani victoryStewart 2011 Yar Muhammad reinstated as governor of PeshawarLee 2019,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,battle_25839238,Battle of Nowshera,battle_article,side_a,Sikh – Durrani victoryStewart 2011 Yar Muhammad reinstated as governor of PeshawarLee 2019,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,battle_21073732,Mexican–American War,war_conflict_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_863,American Civil War,war_conflict_article,side_b,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_84849,Battle of Antietam,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_1348572,Battle of Beaver Dam Creek,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_70822774,Battle of Lewisburg,battle_article,side_a,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_44812438,Battle of Malvern Hill,battle_article,side_b,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_540026,Battle of South Mountain,battle_article,side_b,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_998780,Seven Days Battles,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_906255,Battle of Cedar Creek,battle_article,side_a,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_1501860,Battle of Cloyd's Mountain,battle_article,side_a,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_77667,Siege of Petersburg,battle_article,side_b,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
George Crook,https://en.wikipedia.org/wiki/George_Crook,battle_1501334,Third Battle of Winchester,battle_article,side_a,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_1478485,Battle of Appomattox Court House,battle_article,side_b,Union victory surrender of the Army of Northern Virginia De facto end of the Civil War,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,battle_4019384,Battle of Sutherland's Station,battle_article,side_a,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_1644100,Battle of White Oak Road,battle_article,side_b,Union victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,battle_1642568,Third Battle of Petersburg,battle_article,side_b,"Union victory: End of the Siege of Petersburg and opening of the Appomattox Campaign Fall of Richmond on April 3, 1865",unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,battle_44845145,Battle of Little Muddy Creek,battle_article,side_a,American victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,battle_1501861,Battle of Shiroyama,battle_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,battle_412862,Satsuma Rebellion,war_conflict_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,battle_15188907,Siege of Kumamoto Castle,battle_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,battle_19099717,Battle of Blood River Poort,battle_article,side_a,Boer victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,battle_16176996,Battle of Dilam,battle_article,side_b,Saudi victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Andranik Ozanian,https://en.wikipedia.org/wiki/Andranik,battle_8863748,1904 Sasun uprising,battle_article,side_b,Uprising suppressed,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,battle_16282038,Battle of Al-Bukiryah,battle_article,side_b,Saudi victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,battle_34248627,Battle of Unaizah (1904),battle_article,side_b,Emirate of Nejd victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,battle_16479369,Battle of Rawdat Muhanna,battle_article,side_b,Emirate of Riyadh victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,battle_5053598,1913 Ottoman coup d'état,battle_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,battle_294430,Second Balkan War,war_conflict_article,side_b,Bulgarian defeat,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stepa Stepanović,https://en.wikipedia.org/wiki/Stepa_Stepanovi%C4%87,battle_294430,Second Balkan War,war_conflict_article,side_b,Bulgarian defeat,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,battle_294430,Second Balkan War,war_conflict_article,side_b,Bulgarian defeat,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,battle_294430,Second Balkan War,war_conflict_article,side_b,Bulgarian defeat,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,battle_171325,First Battle of the Marne,battle_article,side_a,Entente victory Failure of Schlieffen Plan,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,battle_7931714,Kosovo offensive (1915),operation_article,side_b,Central Powers victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,battle_7931714,Kosovo offensive (1915),operation_article,side_b,Central Powers victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,battle_7931714,Kosovo offensive (1915),operation_article,side_b,Central Powers victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stepa Stepanović,https://en.wikipedia.org/wiki/Stepa_Stepanovi%C4%87,battle_7931714,Kosovo offensive (1915),operation_article,side_b,Central Powers victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,battle_627596,Basmachi movement,war_conflict_article,side_b,Soviet-Afghan victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,battle_25894154,Battle of the Crna Bend (1916),battle_article,side_a,Entente victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,battle_78293902,Central Asian Front of the Russian Civil War,war_conflict_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,battle_72911672,Battle of Seray Mountain,battle_article,side_a,Assyrian victoryHaddad 1996,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,battle_35926995,Al-Khurma dispute,battle_article,side_a,Saudi victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Faisal bin Hussein,https://en.wikipedia.org/wiki/Faisal_I,battle_31376607,Iraqi–Kurdish conflict,war_conflict_article,side_b,Defeat,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Henri Gouraud,https://en.wikipedia.org/wiki/Henri_Gouraud,battle_5704020,Battle of Marash,battle_article,side_b,Turkish victory French troops abandon Marash,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,battle_1115528,Battle of the Sakarya,battle_article,side_b,Turkish victory Greek advance halted,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,battle_77065271,Battles for Dushanbe (1922),battle_article,side_b,Bolshevik victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,battle_8309183,Koçgiri rebellion,war_conflict_article,side_a,Turkish victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,battle_60517284,Assyrian rebellion,war_conflict_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,battle_1545161,August Uprising,battle_article,side_a,Soviet government victory Consolidation of Soviet rule in the Georgian SSR,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,battle_30754239,Canton Merchants' Corps Uprising,battle_article,side_a,Government victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,battle_13657367,Battle of Jeddah (1925),battle_article,side_a,Najdi victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,battle_9713388,Sheikh Said rebellion,war_conflict_article,side_a,Turkish victory Revolt suppressed Sheikh Said executed,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,battle_60599051,Urtatagai conflict (1925–1926),war_conflict_article,side_a,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,battle_644162,Autumn Harvest Uprising,battle_article,side_b,"Uprising crushed, Communists forced to retreat to the Jinggang Mountains",unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Zhang Fakui,https://en.wikipedia.org/wiki/Zhang_Fakui,battle_49451077,Battle of Humen-Shijing,battle_article,side_b,Zhang Fakui's supporters occupy Humen and Shijing,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,battle_6795857,Shanghai massacre,battle_article,side_a,Split within the Kuomintang End of the First United Front Start of Autumn Harvest Uprising,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Bai Chongxi,https://en.wikipedia.org/wiki/Bai_Chongxi,battle_6795857,Shanghai massacre,battle_article,side_a,Split within the Kuomintang End of the First United Front Start of Autumn Harvest Uprising,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,battle_6045837,Central Plains War,war_conflict_article,side_a,"Nationalist government victory Resignation of Yan and Feng Resumption, then end, of the Warlord Era",unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Bai Chongxi,https://en.wikipedia.org/wiki/Bai_Chongxi,battle_6045837,Central Plains War,war_conflict_article,side_b,"Nationalist government victory Resignation of Yan and Feng Resumption, then end, of the Warlord Era",unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Rodolfo Graziani,https://en.wikipedia.org/wiki/Rodolfo_Graziani,battle_76818971,Battle of Uadi Bu Taga,battle_article,side_a,Italian victoryLibyan Heritage HouseQuirino 2003,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,battle_63479770,Battle of Chishui River,battle_article,side_a,Communist forces manage to maneuver out of the Nationalists' encirclement,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Xue Yue,https://en.wikipedia.org/wiki/Xue_Yue,battle_63479770,Battle of Chishui River,battle_article,side_a,Communist forces manage to maneuver out of the Nationalists' encirclement,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Bai Chongxi,https://en.wikipedia.org/wiki/Bai_Chongxi,battle_63479770,Battle of Chishui River,battle_article,side_a,Communist forces manage to maneuver out of the Nationalists' encirclement,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
