display_name,canonical_wikipedia_url,structural_classification,structural_sensitivity,structural_risk_score,structural_notes,outcome_risk_notes_before,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,high_priority_manual_audit,high,46,7 structurally suspect rows; 12 downgraded broad rows; war-page reduction 17→0; campaign reduction 2→0; strict engagements reduced by 18,clean record with unresolved battle outcomes; victory count dropped by 9; known outcomes dropped by 13; multiple surviving battle pages still unresolved; headline rank with softened trust confidence,corrected,stable_after_review,16,16,B=16; O=0; C=0; W=0,B=16; O=0; C=0; W=0,16,16,V=11; D=3; N=1; U=0,V=11; D=3; N=1; U=0,4,0,0,0,2.0,2.0,3.0,3.0,model_sensitive_band,model_sensitive_band,caution,caution
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,high_priority_manual_audit,high,44,12 structurally suspect rows; 5 downgraded broad rows; war-page reduction 2→1; campaign reduction 13→0; strict engagements reduced by 16,victory count dropped by 14; known outcomes dropped by 15; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,22,22,B=18; O=3; C=0; W=1,B=18; O=3; C=0; W=1,18,20,V=14; D=4; N=0; U=4,V=14; D=4; N=2; U=2,2,2,1,1,4.0,4.0,4.0,4.0,model_sensitive_band,model_sensitive_band,caution,caution
Mahmud II,https://en.wikipedia.org/wiki/Mahmud_II,materially_inflated,high,44,5 structurally suspect rows; 5 downgraded broad rows; strict engagements reduced by 9; rank moved materially after verification,known outcomes dropped by 4,unresolved_after_review,stable_after_review,3,3,B=3; O=0; C=0; W=0,B=3; O=0; C=0; W=0,2,2,V=2; D=0; N=0; U=1,V=2; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,high_priority_manual_audit,high,43,9 structurally suspect rows; 2 downgraded broad rows; war-page reduction 8→3; campaign reduction 6→0; strict engagements reduced by 11; rank moved materially after verification,victory count dropped by 4; known outcomes dropped by 5; multiple surviving battle pages still unresolved; headline rank with softened trust confidence,corrected_but_partially_unresolved,material_change,20,20,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=3,16,16,V=12; D=4; N=0; U=4,V=12; D=4; N=0; U=4,1,4,4,4,48.0,,98.0,,model_sensitive_band,,caution,
William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,materially_inflated,high,42,6 structurally suspect rows; 1 downgraded broad rows; campaign reduction 7→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 13; known outcomes dropped by 7,corrected_but_partially_unresolved,stable_after_review,10,10,B=6; O=4; C=0; W=0,B=6; O=4; C=0; W=0,7,8,V=6; D=1; N=0; U=3,V=6; D=1; N=1; U=2,2,2,1,1,,,,,,,,
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,materially_inflated,high,36,3 structurally suspect rows; 3 downgraded broad rows; war-page reduction 6→2; campaign reduction 2→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 3,unresolved_after_review,material_change,5,5,B=3; O=0; C=0; W=2,B=3; O=0; C=0; W=2,3,3,V=2; D=0; N=0; U=2,V=2; D=0; N=0; U=2,0,2,2,2,181.0,174.0,157.0,157.0,outside_trust_headline,outside_trust_headline,caution,caution
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,high_priority_manual_audit,high,34,4 structurally suspect rows; 4 downgraded broad rows; war-page reduction 4→1; campaign reduction 3→0; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 4; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,13,13,B=5; O=7; C=0; W=1,B=5; O=7; C=0; W=1,7,9,V=6; D=1; N=0; U=6,V=6; D=1; N=2; U=4,2,4,3,3,5.0,5.0,5.0,5.0,model_sensitive_band,model_sensitive_band,caution,caution
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,high_priority_manual_audit,moderate,32,1 structurally suspect rows; 6 downgraded broad rows; war-page reduction 6→0; campaign reduction 1→0; strict engagements reduced by 7; rank moved materially after verification,victory count dropped by 4; known outcomes dropped by 5,corrected,stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=4; D=1; N=0; U=1,V=4; D=1; N=0; U=1,1,1,0,0,,,,,,,,
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,materially_inflated,high,32,2 structurally suspect rows; 4 downgraded broad rows; war-page reduction 5→0; campaign reduction 1→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 4,corrected_but_partially_unresolved,material_change,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,1,2,V=1; D=0; N=0; U=9,V=2; D=0; N=0; U=8,1,8,6,6,95.0,57.0,30.0,12.0,model_sensitive_band,model_sensitive_band,caution,caution
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,materially_inflated,high,31,5 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 7; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,6,9,V=4; D=1; N=1; U=4,V=7; D=1; N=1; U=1,3,1,1,1,,24.0,,28.0,,model_sensitive_band,,caution
Chiang Kai-shek,https://en.wikipedia.org/wiki/Chiang_Kai-shek,materially_inflated,high,30,3 structurally suspect rows; 10 downgraded broad rows; strict engagements reduced by 10; rank moved materially after verification,known outcomes dropped by 7,corrected_but_partially_unresolved,stable_after_review,20,20,B=9; O=2; C=0; W=9,B=9; O=2; C=0; W=9,8,9,V=3; D=4; N=1; U=12,V=3; D=4; N=2; U=11,1,11,8,8,,,,,,,,
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,materially_inflated,moderate,29,4 structurally suspect rows; 6 downgraded broad rows; war-page reduction 6→5; campaign reduction 5→0; strict engagements reduced by 5; rank moved materially after verification,headline rank with softened trust confidence,unresolved_after_review,stable_after_review,14,14,B=8; O=1; C=0; W=5,B=8; O=1; C=0; W=5,9,9,V=5; D=3; N=1; U=5,V=5; D=3; N=1; U=5,0,5,5,5,17.0,16.0,25.0,27.0,model_sensitive_band,model_sensitive_band,caution,caution
Shapur II,https://en.wikipedia.org/wiki/Shapur_II,materially_inflated,high,28,3 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 4,unresolved_after_review,stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,7,7,V=5; D=1; N=1; U=1,V=5; D=1; N=1; U=1,0,1,1,1,,,,,,,,
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,materially_inflated,high,28,6 structurally suspect rows; campaign reduction 6→0; strict engagements reduced by 6; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,25,25,B=24; O=0; C=0; W=1,B=24; O=0; C=0; W=1,7,15,V=6; D=0; N=1; U=18,V=7; D=3; N=5; U=10,8,10,10,10,136.0,,140.0,,outside_trust_headline,,caution,
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,high_priority_manual_audit,moderate,27,3 structurally suspect rows; 4 downgraded broad rows; war-page reduction 8→5; campaign reduction 3→0; strict engagements reduced by 6,victory count dropped by 5; known outcomes dropped by 5; multiple surviving battle pages still unresolved,unresolved_after_review,stable_after_review,21,21,B=16; O=0; C=0; W=5,B=16; O=0; C=0; W=5,16,16,V=15; D=1; N=0; U=5,V=15; D=1; N=0; U=5,0,5,3,3,6.0,6.0,8.0,9.0,robust_elite_core,robust_elite_core,high,high
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,high_priority_manual_audit,high,27,2 structurally suspect rows; 7 downgraded broad rows; war-page reduction 9→6; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 3; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,17,17,B=5; O=6; C=0; W=6,B=5; O=6; C=0; W=6,7,10,V=5; D=2; N=0; U=10,V=6; D=2; N=2; U=7,4,7,7,7,45.0,47.0,88.0,94.0,model_sensitive_band,model_sensitive_band,caution,caution
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,high_priority_manual_audit,moderate,27,2 structurally suspect rows; 1 downgraded broad rows; campaign reduction 2→0; rank moved materially after verification,clean record with unresolved battle outcomes; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,9,9,B=5; O=3; C=0; W=1,B=5; O=3; C=0; W=1,6,7,V=6; D=0; N=0; U=3,V=7; D=0; N=0; U=2,1,2,2,2,23.0,20.0,20.0,17.0,model_sensitive_band,model_sensitive_band,caution,caution
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,materially_inflated,moderate,27,4 structurally suspect rows; 3 downgraded broad rows; war-page reduction 7→2; campaign reduction 1→0; strict engagements reduced by 6; rank moved materially after verification,,confirmed_no_change,material_change,10,10,B=8; O=0; C=0; W=2,B=8; O=0; C=0; W=2,9,9,V=7; D=1; N=1; U=1,V=7; D=1; N=1; U=1,0,1,0,0,26.0,32.0,34.0,36.0,model_sensitive_band,model_sensitive_band,caution,caution
Selim I,https://en.wikipedia.org/wiki/Selim_I,materially_inflated,high,27,3 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,corrected_but_partially_unresolved,stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,5,7,V=4; D=1; N=0; U=3,V=6; D=1; N=0; U=1,2,1,1,1,,,,,,,,
Fyodor Ushakov,https://en.wikipedia.org/wiki/Fyodor_Ushakov,materially_inflated,high,26,2 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,corrected,material_change,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,5,V=4; D=0; N=0; U=1,V=5; D=0; N=0; U=0,1,0,0,0,,123.0,,62.0,,outside_trust_headline,,caution
Hisaichi Terauchi,https://en.wikipedia.org/wiki/Hisaichi_Terauchi,materially_inflated,high,26,1 structurally suspect rows; 4 downgraded broad rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 5,unresolved_after_review,stable_after_review,7,7,B=3; O=2; C=0; W=2,B=3; O=2; C=0; W=2,6,6,V=3; D=3; N=0; U=1,V=3; D=3; N=0; U=1,0,1,1,1,,,,,,,,
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,materially_inflated,moderate,25,4 structurally suspect rows; 2 downgraded broad rows; war-page reduction 12→7; campaign reduction 1→0; strict engagements reduced by 6,headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,15,15,B=8; O=0; C=0; W=7,B=8; O=0; C=0; W=7,10,11,V=9; D=1; N=0; U=5,V=9; D=1; N=1; U=4,1,4,4,4,9.0,7.0,7.0,6.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,materially_inflated,moderate,25,3 structurally suspect rows; 5 downgraded broad rows; war-page reduction 2→1; campaign reduction 2→0; strict engagements reduced by 6,,corrected,stable_after_review,9,9,B=4; O=4; C=0; W=1,B=4; O=4; C=0; W=1,8,9,V=8; D=0; N=0; U=1,V=9; D=0; N=0; U=0,1,0,0,0,36.0,34.0,33.0,31.0,model_sensitive_band,model_sensitive_band,caution,caution
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,materially_inflated,high,25,2 structurally suspect rows; 2 downgraded broad rows; war-page reduction 3→0; campaign reduction 2→0; rank moved materially after verification,victory count dropped by 7,corrected_but_partially_unresolved,material_change,9,9,B=5; O=2; C=0; W=2,B=5; O=2; C=0; W=2,6,7,V=5; D=1; N=0; U=3,V=6; D=1; N=0; U=2,1,2,2,2,,46.0,,45.0,,model_sensitive_band,,caution
Muhammad Ali of Egypt,https://en.wikipedia.org/wiki/Muhammad_Ali_of_Egypt,materially_inflated,high,25,7 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,unresolved_after_review,stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,3,3,V=3; D=0; N=0; U=3,V=3; D=0; N=0; U=3,0,3,1,1,106.0,109.0,42.0,44.0,outside_trust_headline,outside_trust_headline,caution,caution
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,materially_inflated,high,24,2 structurally suspect rows; 5 downgraded broad rows; war-page reduction 9→0; campaign reduction 3→0; strict engagements reduced by 5; rank moved materially after verification,victory count dropped by 15,unresolved_after_review,stable_after_review,28,28,B=21; O=0; C=0; W=7,B=21; O=0; C=0; W=7,22,22,V=14; D=8; N=0; U=6,V=14; D=8; N=0; U=6,0,6,4,4,,,,,,,,
Qasem Soleimani,https://en.wikipedia.org/wiki/Qasem_Soleimani,materially_inflated,high,23,2 structurally suspect rows; 2 downgraded broad rows; war-page reduction 2→0; campaign reduction 2→0; strict engagements reduced by 3; rank moved materially after verification,victory count dropped by 4,unresolved_after_review,stable_after_review,10,10,B=6; O=3; C=0; W=1,B=6; O=3; C=0; W=1,3,3,V=2; D=0; N=0; U=7,V=2; D=0; N=0; U=7,0,7,5,5,,,,,,,,
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,materially_inflated,high,23,3 structurally suspect rows; campaign reduction 2→0; rank moved materially after verification,,confirmed_no_change,material_change,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,9,9,V=9; D=0; N=0; U=0,V=9; D=0; N=0; U=0,0,0,0,0,79.0,91.0,69.0,78.0,model_sensitive_band,model_sensitive_band,caution,caution
Alexander I of Russia,https://en.wikipedia.org/wiki/Alexander_I_of_Russia,materially_inflated,high,23,4 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 3,unresolved_after_review,stable_after_review,17,17,B=10; O=0; C=0; W=7,B=10; O=0; C=0; W=7,13,13,V=7; D=6; N=0; U=4,V=7; D=6; N=0; U=4,0,4,3,3,,,,,,,,
George Crook,https://en.wikipedia.org/wiki/George_Crook,materially_inflated,high,23,3 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 3,corrected_but_partially_unresolved,stable_after_review,15,15,B=14; O=0; C=0; W=1,B=14; O=0; C=0; W=1,6,11,V=4; D=2; N=0; U=9,V=7; D=3; N=1; U=4,5,4,4,4,,,,,,,,
Friedrich Wilhelm Freiherr von Bülow,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Freiherr_von_B%C3%BClow,materially_inflated,high,23,2 structurally suspect rows; war-page reduction 1→0; campaign reduction 2→0; rank moved materially after verification,victory count dropped by 8,corrected_but_partially_unresolved,stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,7,8,V=7; D=0; N=0; U=2,V=7; D=0; N=1; U=1,1,1,1,1,,,,,,,,
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,high_priority_manual_audit,moderate,22,7 structurally suspect rows; 3 downgraded broad rows; war-page reduction 5→2; campaign reduction 6→0; strict engagements reduced by 7,known outcomes dropped by 4; multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,stable_after_review,67,67,B=65; O=0; C=0; W=2,B=65; O=0; C=0; W=2,58,60,V=49; D=9; N=0; U=9,V=49; D=9; N=2; U=7,2,7,4,4,3.0,3.0,2.0,2.0,robust_elite_core,robust_elite_core,very_high,very_high
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,high_priority_manual_audit,high,22,1 structurally suspect rows; 7 downgraded broad rows; strict engagements reduced by 6; rank moved materially after verification,known outcomes dropped by 4; multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,stable_after_review,21,21,B=16; O=5; C=0; W=0,B=16; O=5; C=0; W=0,15,17,V=9; D=5; N=1; U=6,V=9; D=5; N=3; U=4,2,4,4,4,46.0,49.0,106.0,109.0,model_sensitive_band,model_sensitive_band,caution,caution
Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,materially_inflated,moderate,22,3 structurally suspect rows; 6 downgraded broad rows; strict engagements reduced by 6; rank moved materially after verification,known outcomes dropped by 4,corrected_but_partially_unresolved,stable_after_review,24,24,B=17; O=7; C=0; W=0,B=17; O=7; C=0; W=0,20,23,V=16; D=4; N=0; U=4,V=18; D=4; N=1; U=1,3,1,1,1,,,,,,,,
Henri Gouraud,https://en.wikipedia.org/wiki/Henri_Gouraud,materially_inflated,high,22,1 structurally suspect rows; 4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,corrected_but_partially_unresolved,stable_after_review,7,7,B=5; O=1; C=0; W=1,B=5; O=1; C=0; W=1,4,6,V=4; D=0; N=0; U=3,V=6; D=0; N=0; U=1,2,1,1,1,,,,,,,,
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,high_priority_manual_audit,high,21,4 structurally suspect rows; 1 downgraded broad rows; war-page reduction 5→1; campaign reduction 1→0; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,23,23,B=22; O=0; C=0; W=1,B=22; O=0; C=0; W=1,18,21,V=15; D=3; N=0; U=5,V=17; D=4; N=0; U=2,3,2,2,2,7.0,11.0,10.0,15.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,high_priority_manual_audit,high,21,2 structurally suspect rows; 6 downgraded broad rows; campaign reduction 5→0; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,unresolved_after_review,stable_after_review,19,19,B=9; O=10; C=0; W=0,B=9; O=10; C=0; W=0,12,12,V=11; D=1; N=0; U=7,V=11; D=1; N=0; U=7,0,7,3,3,13.0,14.0,13.0,16.0,model_sensitive_band,model_sensitive_band,caution,caution
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,materially_inflated,high,21,1 structurally suspect rows; 4 downgraded broad rows; campaign reduction 1→0; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,corrected,stable_after_review,13,13,B=8; O=5; C=0; W=0,B=8; O=5; C=0; W=0,11,12,V=10; D=1; N=0; U=2,V=11; D=1; N=0; U=1,1,1,0,0,39.0,36.0,48.0,41.0,model_sensitive_band,model_sensitive_band,caution,caution
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,materially_inflated,high,21,7 downgraded broad rows; campaign reduction 3→0; strict engagements reduced by 7; rank moved materially after verification,multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,stable_after_review,13,13,B=11; O=1; C=0; W=1,B=11; O=1; C=0; W=1,7,8,V=6; D=1; N=0; U=6,V=6; D=1; N=1; U=5,1,5,5,5,40.0,39.0,58.0,60.0,model_sensitive_band,model_sensitive_band,caution,caution
Stanisław Koniecpolski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Koniecpolski,materially_inflated,high,21,1 structurally suspect rows; 2 downgraded broad rows; war-page reduction 3→0; strict engagements reduced by 3; rank moved materially after verification,victory count dropped by 6,unresolved_after_review,stable_after_review,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,7,7,V=6; D=1; N=0; U=4,V=6; D=1; N=0; U=4,0,4,2,2,,,,,,,,
Hayreddin Barbarossa,https://en.wikipedia.org/wiki/Hayreddin_Barbarossa,materially_inflated,high,21,1 structurally suspect rows; 3 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,3,3,V=3; D=0; N=0; U=2,V=3; D=0; N=0; U=2,0,2,2,2,152.0,151.0,43.0,43.0,outside_trust_headline,outside_trust_headline,caution,caution
Andranik Ozanian,https://en.wikipedia.org/wiki/Andranik,materially_inflated,high,21,5 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,unresolved_after_review,stable_after_review,4,4,B=3; O=0; C=0; W=1,B=3; O=0; C=0; W=1,3,3,V=3; D=0; N=0; U=1,V=3; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Babur,https://en.wikipedia.org/wiki/Babur,high_priority_manual_audit,moderate,20,5 downgraded broad rows; war-page reduction 3→0; campaign reduction 2→0; strict engagements reduced by 5; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,unresolved_after_review,stable_after_review,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,7,7,V=6; D=1; N=0; U=4,V=6; D=1; N=0; U=4,0,4,4,4,18.0,17.0,16.0,18.0,model_sensitive_band,model_sensitive_band,caution,caution
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,materially_inflated,high,20,3 structurally suspect rows; 1 downgraded broad rows; war-page reduction 3→1; rank moved materially after verification,,unresolved_after_review,stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,8,8,V=7; D=1; N=0; U=1,V=7; D=1; N=0; U=1,0,1,1,1,58.0,62.0,44.0,46.0,model_sensitive_band,model_sensitive_band,caution,caution
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,materially_inflated,high,20,2 structurally suspect rows; 1 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,10,10,B=6; O=1; C=0; W=3,B=6; O=1; C=0; W=3,4,5,V=3; D=0; N=1; U=6,V=3; D=0; N=2; U=5,1,5,3,3,,,,,,,,
Marc Mitscher,https://en.wikipedia.org/wiki/Marc_Mitscher,materially_inflated,high,20,1 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,corrected,stable_after_review,7,7,B=2; O=5; C=0; W=0,B=2; O=5; C=0; W=0,6,7,V=6; D=0; N=0; U=1,V=6; D=0; N=1; U=0,1,0,0,0,,,,,,,,
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,high_priority_manual_audit,moderate,19,1 structurally suspect rows; 3 downgraded broad rows; war-page reduction 6→2; strict engagements reduced by 3,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,unresolved_after_review,stable_after_review,13,13,B=11; O=0; C=0; W=2,B=11; O=0; C=0; W=2,9,9,V=7; D=2; N=0; U=4,V=7; D=2; N=0; U=4,0,4,1,1,19.0,18.0,17.0,19.0,model_sensitive_band,model_sensitive_band,caution,caution
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,materially_inflated,high,19,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,clean record with unresolved battle outcomes,corrected_but_partially_unresolved,stable_after_review,13,13,B=5; O=8; C=0; W=0,B=5; O=8; C=0; W=0,10,11,V=10; D=0; N=0; U=3,V=10; D=0; N=1; U=2,1,2,2,2,43.0,44.0,46.0,56.0,model_sensitive_band,model_sensitive_band,caution,caution
