display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,battle_8450227,Siege of Utica,Siege of Utica,battle_article,side_b,Rome,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_(consul_218_BC),battle_3110207,Battle of the Upper Baetis,Battle of the Upper Baetis,battle_article,side_b,Roman Republic,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Publius_Cornelius_Scipio_(consul_218_BC),battle_1294942,Battle of Ticinus,Battle of Ticinus,battle_article,side_b,Rome,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_898313,Siege of the Sogdian Rock,Siege of the Sogdian Rock,battle_article,side_a,Macedon League of Corinth,unknown,victory,unknown,Macedonian victoryHorn Spencer 2012,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victoryHorn Spencer 2012
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_15296493,Siege of Gaza (332 BC),Siege of Gaza (332 BC),battle_article,side_a,Macedon Hellenic League,unknown,victory,victory,Macedonian victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_745994,Battle of Chaeronea (338 BC),Battle of Chaeronea (338 BC),battle_article,side_a,Macedon * Thessaly * Argos * Arcadia * Phocis,unknown,victory,victory,Macedonian victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,battle_3129123,Battle of Rimini (432),Battle of Rimini (432),battle_article,side_b,,unknown,defeat,unknown,"Bonifacius victorious, but mortally wounded",Retained page result states Bonifacius was victorious while Aetius is attached to the opposing side.,"page_result_raw=Bonifacius victorious, but mortally wounded"
Belisarius,https://en.wikipedia.org/wiki/Belisarius,battle_5196520,Iberian War,Iberian War,war_conflict_article,side_a,Byzantine Empire Iberia Lazica Ghassanids Huns Heruli Aksum Kinda,unknown,indecisive,unknown,InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_70387436,Muslim–Quraysh War,Muslim–Quraysh War,war_conflict_article,side_a,First Islamic state Quraysh splinter groups Ansar Flag (4).png Ansars Black flag.svg Muhajirun Banu Makhzum (from 627),unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_5986980,Battle of Autas,Battle of Autas,battle_article,side_a,First Islamic state,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_3131002,Battle of Hunayn,Battle of Hunayn,battle_article,side_a,First Islamic State,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_3797250,Siege of Ta'if,Siege of Ta'if,battle_article,side_a,First Islamic State,unknown,indecisive,unknown,Inconclusive,"Retained page result is explicitly inconclusive, so the row should be a non-win rather than unresolved.",page_result_raw=Inconclusive
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_7517460,Battle of Dawmat al-Jandal,Battle of Dawmat al-Jandal,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_7517465,Battle of Muzayyah,Battle of Muzayyah,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_7598267,Battle of al-Anbar,Battle of al-Anbar,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_55685610,Siege of Babylon Fortress,Siege of Babylon Fortress,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_4246048,Battle of Nikiou,Battle of Nikiou,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,battle_24916149,Battle of Pombal,Battle of Pombal,battle_article,side_a,First French Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_16477218,Battle of al-Fule,Battle of al-Fule,battle_article,side_b,Ayyubid Sultanate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
Tolui,https://en.wikipedia.org/wiki/Tolui,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
Subutai,https://en.wikipedia.org/wiki/Subutai,battle_70565233,Battle of Daohuigu,Battle of Daohuigu,battle_article,side_a,Mongol Empire,unknown,defeat,victory,Jin victory,Retained page result begins with `jin` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Jin victory
Subutai,https://en.wikipedia.org/wiki/Subutai,battle_41335403,Siege of Kaifeng (1232),Siege of Kaifeng (1232),battle_article,side_b,Mongol Empire,unknown,victory,victory,Mongol victory Emperor Aizong flees to Caizhou,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory Emperor Aizong flees to Caizhou
Tolui,https://en.wikipedia.org/wiki/Tolui,battle_41335403,Siege of Kaifeng (1232),Siege of Kaifeng (1232),battle_article,side_b,Mongol Empire,unknown,victory,victory,Mongol victory Emperor Aizong flees to Caizhou,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory Emperor Aizong flees to Caizhou
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,battle_41335403,Siege of Kaifeng (1232),Siege of Kaifeng (1232),battle_article,side_b,Mongol Empire,unknown,victory,victory,Mongol victory Emperor Aizong flees to Caizhou,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory Emperor Aizong flees to Caizhou
Baybars,https://en.wikipedia.org/wiki/Baybars,battle_14728263,Siege of Tripoli (1271),Siege of Tripoli (1271),battle_article,side_b,Mamluk Sultanate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Murad II,https://en.wikipedia.org/wiki/Murad_II,battle_11784376,Siege of Thessalonica (1422–1430),Siege of Thessalonica (1422–1430),battle_article,side_a,Ottoman Empire Ottoman Empire,unknown,victory,victory,Ottoman victory,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory
Murad II,https://en.wikipedia.org/wiki/Murad_II,battle_48066312,Skanderbeg's rebellion,Skanderbeg's rebellion,war_conflict_article,side_b,20px Ottoman Empire 20px Republic of Venice (1447–48),unknown,victory,victory,Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,battle_48066312,Skanderbeg's rebellion,Skanderbeg's rebellion,war_conflict_article,side_b,20px Ottoman Empire 20px Republic of Venice (1447–48),unknown,victory,victory,Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Death of Skanderbeg End of Skanderbeg's rebellion
Murad II,https://en.wikipedia.org/wiki/Murad_II,battle_4016222,Siege of Krujë (1450),Siege of Krujë (1450),battle_article,side_b,Ottoman Empire Ottoman Empire,unknown,defeat,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Albanian victory
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,battle_4016222,Siege of Krujë (1450),Siege of Krujë (1450),battle_article,side_b,Ottoman Empire Ottoman Empire,unknown,defeat,victory,Albanian victory,Retained page result begins with `albanian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Albanian victory
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,battle_73740118,Siege of Smederevo (1459),Siege of Smederevo (1459),battle_article,side_a,Ottoman red flag.svg Ottoman Empire,unknown,victory,victory,Ottoman victory Fall of Serbian Despotate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Fall of Serbian Despotate
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,battle_73740118,Siege of Smederevo (1459),Siege of Smederevo (1459),battle_article,side_a,Ottoman red flag.svg Ottoman Empire,unknown,victory,victory,Ottoman victory Fall of Serbian Despotate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Fall of Serbian Despotate
Selim I,https://en.wikipedia.org/wiki/Selim_I,battle_46306254,Battle of Turnadağ,Battle of Turnadağ,battle_article,side_a,25px|border Ottoman Empire,unknown,victory,victory,Ottoman victory Annexation of the Beylik of Dulkadir,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Annexation of the Beylik of Dulkadir
Selim I,https://en.wikipedia.org/wiki/Selim_I,battle_7364983,Battle of Ridaniya,Battle of Ridaniya,battle_article,side_a,Ottoman Empire Ottoman Empire,unknown,victory,victory,Ottoman victory Collapse of the Mamluk Sultanate,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory Collapse of the Mamluk Sultanate
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,battle_386667,Siege of Vienna (1529),Siege of Vienna (1529),battle_article,side_b,Ottoman Empire Ottoman Empire Moldavia Moldavia (Vassal state),unknown,defeat,victory,Habsburg victory,Retained page result states Habsburg victory while Suleiman is attached to the Ottoman side.,page_result_raw=Habsburg victory
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,battle_30940778,Siege of Kőszeg,Siege of Kőszeg,battle_article,side_b,Ottoman Empire,unknown,indecisive,unknown,The Defenders prevented the Ottoman advance into Vienna,"Retained page result says the defenders prevented the Ottoman advance into Vienna, which is a non-win for Suleiman but not expressed as a direct enemy victory.",page_result_raw=The Defenders prevented the Ottoman advance into Vienna
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,battle_37342761,Siege of Maribor (1532),Siege of Maribor (1532),battle_article,side_b,Ottoman Empire,unknown,defeat,victory,Habsburg victory,Retained page result states Habsburg victory while Suleiman is on the opposing Ottoman side.,page_result_raw=Habsburg victory
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,battle_25240022,Siege of Corfu (1537),Siege of Corfu (1537),battle_article,side_a,Ottoman red flag.svg Ottoman Empire Kingdom of France,unknown,defeat,victory,Venetian victory Ottomans fail to capture Corfu.,Retained page result states Venetian victory and explicitly notes the Ottomans failed to capture Corfu.,page_result_raw=Venetian victory Ottomans fail to capture Corfu.
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,battle_352041,Battles of Kawanakajima,Battles of Kawanakajima,battle_article,side_a,Takeda clan,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,battle_13799795,Battle of Komaki and Nagakute,Battle of Komaki and Nagakute,battle_article,side_a,Forces of Hashiba Hideyoshi,unknown,indecisive,unknown,inconclusive Peace negotiations between Hideyoshi and Ieyasu.,Retained page result is explicitly inconclusive.,page_result_raw=inconclusive Peace negotiations between Hideyoshi and Ieyasu.
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,battle_13799795,Battle of Komaki and Nagakute,Battle of Komaki and Nagakute,battle_article,side_a,Forces of Hashiba Hideyoshi,unknown,indecisive,unknown,inconclusive Peace negotiations between Hideyoshi and Ieyasu.,Retained page result is explicitly inconclusive.,page_result_raw=inconclusive Peace negotiations between Hideyoshi and Ieyasu.
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,battle_13799795,Battle of Komaki and Nagakute,Battle of Komaki and Nagakute,battle_article,side_a,Forces of Hashiba Hideyoshi,unknown,indecisive,unknown,inconclusive Peace negotiations between Hideyoshi and Ieyasu.,Retained page result is explicitly inconclusive.,page_result_raw=inconclusive Peace negotiations between Hideyoshi and Ieyasu.
Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,battle_13799795,Battle of Komaki and Nagakute,Battle of Komaki and Nagakute,battle_article,side_b,Forces of Tokugawa Ieyasu and Oda Nobukatsu,unknown,indecisive,unknown,inconclusive Peace negotiations between Hideyoshi and Ieyasu.,Retained page result is explicitly inconclusive.,page_result_raw=inconclusive Peace negotiations between Hideyoshi and Ieyasu.
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,battle_29214283,Second siege of Ulsan,Second siege of Ulsan,battle_article,side_b,Toyotomi Hideyoshi's Japanese army,unknown,victory,victory,Japanese victory Withdrawal of Ming and Korean forces,Retained page result begins with `japanese` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Japanese victory Withdrawal of Ming and Korean forces
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,battle_5756475,Siege of Ulsan,Siege of Ulsan,battle_article,side_b,Japanese army,unknown,victory,victory,Japanese Victory Withdrawal of Korean and Ming Forces,Retained page result begins with `japanese` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Japanese Victory Withdrawal of Korean and Ming Forces
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,battle_11458587,Battle of Guzów,Battle of Guzów,battle_article,side_b,Polish Royalists,unknown,victory,victory,Royalist Victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist Victory
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,battle_11458587,Battle of Guzów,Battle of Guzów,battle_article,side_b,Polish Royalists,unknown,victory,victory,Royalist Victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist Victory
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_55540240,Cossack raid on Istanbul (1620),Cossack raid on Istanbul (1620),battle_article,side_a,Flag of the Zaporizhian Sich.svg Zaporozhian Cossacks,unknown,victory,victory,Cossack victory,Retained page result begins with `cossack` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Cossack victory
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,battle_496593,Battle of Freiburg,Battle of Freiburg,battle_article,side_a,Kingdom of France Kingdom of France,unknown,indecisive,unknown,InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_496593,Battle of Freiburg,Battle of Freiburg,battle_article,side_a,Kingdom of France Kingdom of France,unknown,indecisive,unknown,InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Stefan Czarniecki,https://en.wikipedia.org/wiki/Stefan_Czarniecki,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_888675,Battle of Bléneau,Battle of Bléneau,battle_article,side_a,Kingdom of France Royalists,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,battle_888675,Battle of Bléneau,Battle of Bléneau,battle_article,side_b,23px Condé rebels,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,battle_42805673,Battle of Mątwy,Battle of Mątwy,battle_article,side_a,Royal Army,unknown,defeat,victory,Rebel victory,Retained page result begins with `rebel` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Rebel victory
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,battle_42805673,Battle of Mątwy,Battle of Mątwy,battle_article,side_a,Royal Army,unknown,defeat,victory,Rebel victory,Retained page result begins with `rebel` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Rebel victory
Jerzy Sebastian Lubomirski,,battle_42805673,Battle of Mątwy,Battle of Mątwy,battle_article,side_b,Rebels,unknown,victory,victory,Rebel victory,Retained page result begins with `rebel` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Rebel victory
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_20848279,Battle of Salzbach,Battle of Salzbach,battle_article,side_b,Kingdom of France,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,battle_2222019,Battle of Augusta,Battle of Augusta,battle_article,side_a,United Provinces Spain Spain,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,battle_975053,War of the Reunions,War of the Reunions,war_conflict_article,side_a,Kingdom of France France,unknown,indecisive,unknown,Truce of Ratisbon,Retained page result is explicitly a truce.,page_result_raw=Truce of Ratisbon
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,battle_975053,War of the Reunions,War of the Reunions,war_conflict_article,side_a,Kingdom of France France,unknown,indecisive,unknown,Truce of Ratisbon,Retained page result is explicitly a truce.,page_result_raw=Truce of Ratisbon
Prince Eugene of Savoy,https://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,battle_3199133,Battle of Cremona,Battle of Cremona,battle_article,side_a,Habsburg Monarchy Denmark-Norway Danish Auxiliary Corps,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Prince Eugene of Savoy,https://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,battle_3942643,Battle of Luzzara,Battle of Luzzara,battle_article,side_a,Holy Roman Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,battle_48562032,Siege of Mosul (1743),Siege of Mosul (1743),battle_article,side_a,border|25px Afsharid Iran,unknown,defeat,victory,Ottoman victory Siege suspended Negotiated Persian withdrawal,Retained page result states Ottoman victory and negotiated Persian withdrawal.,page_result_raw=Ottoman victory Siege suspended Negotiated Persian withdrawal
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,battle_48575198,Battle of Lahore (1752),Battle of Lahore (1752),battle_article,side_a,18px Durrani Empire,unknown,victory,victory,Afghan victory,Retained page result begins with `afghan` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Afghan victory
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,battle_446476,Battle of Zorndorf,Battle of Zorndorf,battle_article,side_a,Prussia,unknown,indecisive,unknown,InconclusiveDuffy 2015 Black,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveDuffy 2015 Black
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,battle_47267604,Battle of Kup,Battle of Kup,battle_article,side_a,18px Durrani Empire Supported by:- 18px Sirhind 18px Malerkotla State,unknown,victory,victory,Afghan victory,Retained page result begins with `afghan` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Afghan victory
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,battle_47267604,Battle of Kup,Battle of Kup,battle_article,side_b,Sikh Confederacy,unknown,defeat,victory,Afghan victory,Retained page result begins with `afghan` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Afghan victory
Charat Singh,https://en.wikipedia.org/wiki/Charat_Singh,battle_47267604,Battle of Kup,Battle of Kup,battle_article,side_b,Sikh Confederacy,unknown,defeat,victory,Afghan victory,Retained page result begins with `afghan` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Afghan victory
Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,battle_73239030,Battle of Qarawal,Battle of Qarawal,battle_article,side_a,Durrani Empire Khanate of Kalat,unknown,victory,victory,Afghan victory,Retained page result begins with `afghan` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Afghan victory
Charat Singh,https://en.wikipedia.org/wiki/Charat_Singh,battle_73239030,Battle of Qarawal,Battle of Qarawal,battle_article,side_b,Sukerchakia Misl,unknown,defeat,victory,Afghan victory,Retained page result begins with `afghan` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Afghan victory
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,battle_13848312,Battle of Klock's Field,Battle of Klock's Field,battle_article,side_b,Kingdom of Great Britain King's Royal Regiment of New York Butler's Rangers Brant's Volunteers 8th Regiment of Foot 34th Regiment of Foot Seneca,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Fyodor Ushakov,https://en.wikipedia.org/wiki/Fyodor_Ushakov,battle_1082877,Battle of Cape Kaliakra,Battle of Cape Kaliakra,battle_article,side_a,Russian Empire,unknown,victory,victory,Russian victory End of the Russo-Turkish War (1787–1792) Treaty of Jassy signed afterwards,Retained page result begins with `russian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Russian victory End of the Russo-Turkish War (1787–1792) Treaty of Jassy signed afterwards
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,battle_35297793,Battle of Friedberg (Bavaria),Battle of Friedberg (Bavaria),battle_article,side_a,France France,unknown,victory,victory,French victory,Retained page result begins with `french` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=French victory
