display_name,canonical_wikipedia_url,primary_era_bucket,current_trust_rank,current_weighted_rank,trust_rank_before_verification,weighted_rank_before_verification,trust_rank_delta,weighted_rank_delta,trust_tier_current,trust_tier_before_verification,trust_confidence_current,trust_confidence_before_verification,strict_engagement_count_current,strict_engagement_count_before_verification,page_type_mix_current,page_type_mix_before_verification,known_outcome_count_current,known_outcome_count_before_verification,outcome_profile_current,outcome_profile_before_verification,structurally_suspect_rows,broad_or_downgraded_rows,quarantined_rows,verification_sensitivity,inflation_risk_band,risk_score,structural_risk_notes,outcome_risk_notes,manual_outcome_audit_priority
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,early_modern,188,148,259,159,-71,-11,outside_trust_headline,outside_trust_headline,caution,caution,10,10,B=10; O=0; C=0; W=0,,5,5,V=5; D=0; N=0; U=5,,1,0,0,high,materially_inflated,13,1 structurally suspect rows; rank moved materially after verification,,no
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,14,23,11,18,3,5,strong_upper_tier,robust_elite_core,high,very_high,43,46,B=40; O=0; C=0; W=3,B=40; O=0; C=2; W=4,36,37,V=29; D=7; N=0; U=7,V=30; D=7; N=0; U=9,2,1,0,moderate,mildly_inflated,12,2 structurally suspect rows; 1 downgraded broad rows; war-page reduction 4→3; campaign reduction 2→0; strict engagements reduced by 3; rank moved materially after verification,multiple surviving battle pages still unresolved,no
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,51,58,45,46,6,12,model_sensitive_band,high_confidence_upper_band,moderate,moderate,11,13,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=3,9,10,V=8; D=1; N=0; U=2,V=9; D=1; N=0; U=3,0,2,0,high,materially_inflated,12,2 downgraded broad rows; war-page reduction 3→1; rank moved materially after verification,,no
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,73,118,96,148,-23,-30,model_sensitive_band,model_sensitive_band,caution,caution,17,19,,,15,17,,,0,3,0,high,materially_inflated,12,3 downgraded broad rows; rank moved materially after verification,,no
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,early_modern,87,138,70,112,17,26,model_sensitive_band,model_sensitive_band,caution,caution,15,17,,,10,11,,,1,1,0,high,materially_inflated,12,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,97,102,77,85,20,17,model_sensitive_band,model_sensitive_band,caution,caution,9,10,,,8,9,,,1,0,0,high,materially_inflated,12,1 structurally suspect rows; rank moved materially after verification,,no
Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,early_modern,110,100,90,84,20,16,outside_trust_headline,model_sensitive_band,caution,caution,10,11,,,8,9,,,1,0,0,high,materially_inflated,12,1 structurally suspect rows; rank moved materially after verification,,no
Ernst Gideon von Laudon,https://en.wikipedia.org/wiki/Ernst_Gideon_von_Laudon,early_modern,112,162,93,136,19,26,outside_trust_headline,model_sensitive_band,caution,caution,12,14,,,11,11,,,1,1,0,high,materially_inflated,12,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Suhayl al-Hasan,https://en.wikipedia.org/wiki/Suhayl_al-Hasan,contemporary,127,168,120,149,7,19,outside_trust_headline,outside_trust_headline,caution,caution,26,29,,,8,9,,,0,4,0,high,materially_inflated,12,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,146,125,133,122,13,3,outside_trust_headline,outside_trust_headline,caution,caution,12,12,B=10; O=0; C=0; W=2,B=10; O=0; C=0; W=2,8,8,V=8; D=0; N=0; U=4,V=8; D=0; N=0; U=4,1,0,0,high,materially_inflated,12,1 structurally suspect rows; rank moved materially after verification,,no
Zhang Fakui,https://en.wikipedia.org/wiki/Zhang_Fakui,world_wars,152,216,127,191,25,25,outside_trust_headline,outside_trust_headline,caution,caution,9,11,,,8,9,,,0,2,0,high,materially_inflated,12,2 downgraded broad rows; rank moved materially after verification,,no
Xue Yue,https://en.wikipedia.org/wiki/Xue_Yue,world_wars,199,393,178,356,21,37,outside_trust_headline,outside_trust_headline,caution,caution,14,17,,,11,11,,,0,3,0,high,materially_inflated,12,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,23,28,18,22,5,6,high_confidence_upper_band,strong_upper_tier,moderate,high,21,21,B=19; O=0; C=0; W=2,B=18; O=0; C=1; W=2,18,19,V=15; D=3; N=0; U=3,V=15; D=4; N=0; U=2,1,0,0,moderate,mildly_inflated,11,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,no
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,45,50,129,145,-84,-95,model_sensitive_band,outside_trust_headline,caution,caution,11,9,B=6; O=5; C=0; W=0,,10,8,V=9; D=0; N=1; U=1,,1,1,0,high,materially_inflated,11,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,61,84,91,119,-30,-35,model_sensitive_band,model_sensitive_band,caution,caution,19,20,B=18; O=1; C=0; W=0,B=17; O=3; C=0; W=0,14,15,V=11; D=1; N=2; U=5,V=12; D=1; N=2; U=5,0,3,0,high,materially_inflated,11,3 downgraded broad rows; rank moved materially after verification,,no
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,121,109,106,92,15,17,outside_trust_headline,outside_trust_headline,caution,caution,11,11,,B=10; O=0; C=0; W=1,9,9,,V=8; D=1; N=0; U=2,0,0,0,high,materially_inflated,11,war-page reduction 1→0; rank moved materially after verification,victory count dropped by 8,no
Jan Zamoyski,https://en.wikipedia.org/wiki/Jan_Zamoyski,early_modern,166,92,152,78,14,14,outside_trust_headline,outside_trust_headline,caution,caution,7,9,,,6,6,,,0,2,0,high,materially_inflated,11,2 downgraded broad rows; rank moved materially after verification,,no
Eugène de Beauharnais,https://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,revolutionary_napoleonic,168,331,150,271,18,60,outside_trust_headline,outside_trust_headline,caution,caution,22,23,,,17,18,,,1,2,0,high,materially_inflated,11,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
Abdul Rashid Dostum,https://en.wikipedia.org/wiki/Abdul_Rashid_Dostum,contemporary,174,107,217,156,-43,-49,outside_trust_headline,outside_trust_headline,caution,caution,8,8,,,4,5,,,0,3,0,high,materially_inflated,11,3 downgraded broad rows; rank moved materially after verification,,no
Faisal bin Hussein,https://en.wikipedia.org/wiki/Faisal_I,world_wars,179,178,227,253,-48,-75,outside_trust_headline,outside_trust_headline,caution,caution,9,9,,,5,6,,,0,3,0,high,materially_inflated,11,3 downgraded broad rows; rank moved materially after verification,,no
Bai Chongxi,https://en.wikipedia.org/wiki/Bai_Chongxi,world_wars,186,378,159,315,27,63,outside_trust_headline,outside_trust_headline,caution,caution,15,18,,,11,11,,,0,3,0,high,materially_inflated,11,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,8,6,13,11,-5,-5,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,16,14,B=13; O=0; C=0; W=3,B=12; O=0; C=1; W=1,14,11,V=13; D=1; N=0; U=2,V=10; D=1; N=0; U=3,0,1,0,moderate,structurally_clean,10,1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,no
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,10,11,7,8,3,3,robust_elite_core,robust_elite_core,high,high,25,25,B=22; O=0; C=0; W=3,B=19; O=0; C=3; W=3,20,21,V=15; D=5; N=0; U=5,V=16; D=5; N=0; U=4,3,0,0,stable,mildly_inflated,10,3 structurally suspect rows; campaign reduction 3→0,multiple surviving battle pages still unresolved,no
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,34,29,142,144,-108,-115,model_sensitive_band,outside_trust_headline,caution,caution,12,10,B=9; O=0; C=0; W=3,,10,7,V=9; D=1; N=0; U=2,,1,1,0,high,materially_inflated,10,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,76,80,57,68,19,12,model_sensitive_band,model_sensitive_band,caution,caution,11,12,,,8,8,,,1,0,0,high,materially_inflated,10,1 structurally suspect rows; rank moved materially after verification,,no
Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,92,93,110,104,-18,-11,model_sensitive_band,outside_trust_headline,caution,caution,10,10,B=10; O=0; C=0; W=0,B=9; O=0; C=1; W=0,9,9,V=8; D=1; N=0; U=1,V=8; D=1; N=0; U=1,1,0,0,high,materially_inflated,10,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,no
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,94,90,75,75,19,15,model_sensitive_band,model_sensitive_band,caution,caution,11,12,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=2,9,9,V=7; D=1; N=1; U=2,V=7; D=1; N=1; U=3,1,0,0,high,materially_inflated,10,1 structurally suspect rows; war-page reduction 2→1; rank moved materially after verification,,no
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,96,88,157,138,-61,-50,model_sensitive_band,outside_trust_headline,caution,caution,12,12,B=11; O=0; C=0; W=1,B=11; O=0; C=1; W=0,7,7,V=6; D=1; N=0; U=5,V=7; D=0; N=0; U=5,1,0,0,high,materially_inflated,10,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,no
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,100,137,97,129,3,8,model_sensitive_band,model_sensitive_band,caution,caution,18,19,,,8,9,,,2,0,0,moderate,mildly_inflated,10,2 structurally suspect rows; rank moved materially after verification,,no
Charat Singh,https://en.wikipedia.org/wiki/Charat_Singh,early_modern,131,122,71,58,60,64,outside_trust_headline,model_sensitive_band,caution,caution,11,13,,,6,6,,,0,2,0,high,materially_inflated,10,2 downgraded broad rows; rank moved materially after verification,,no
Jean-Baptiste Bessières,https://en.wikipedia.org/wiki/Jean-Baptiste_Bessi%C3%A8res,revolutionary_napoleonic,148,254,116,204,32,50,outside_trust_headline,outside_trust_headline,caution,caution,17,17,,,15,15,,,2,0,0,high,materially_inflated,10,2 structurally suspect rows; rank moved materially after verification,,no
Gerd von Rundstedt,https://en.wikipedia.org/wiki/Gerd_von_Rundstedt,world_wars,155,264,208,388,-53,-124,outside_trust_headline,outside_trust_headline,caution,caution,20,20,,,10,10,,,1,4,0,high,materially_inflated,10,1 structurally suspect rows; 4 downgraded broad rows; rank moved materially after verification,,no
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,38,43,29,31,9,12,high_confidence_upper_band,high_confidence_upper_band,moderate,high,18,19,B=15; O=0; C=0; W=3,B=15; O=0; C=0; W=4,17,18,V=12; D=4; N=1; U=1,V=13; D=4; N=1; U=1,0,1,0,high,materially_inflated,9,1 downgraded broad rows; war-page reduction 4→3; rank moved materially after verification,,no
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,53,79,154,221,-101,-142,model_sensitive_band,outside_trust_headline,caution,caution,18,15,B=13; O=5; C=0; W=0,B=12; O=3; C=0; W=0,13,10,V=11; D=2; N=0; U=5,V=8; D=2; N=0; U=5,0,4,0,high,materially_inflated,9,4 downgraded broad rows; rank moved materially after verification,,no
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,revolutionary_napoleonic,65,146,52,124,13,22,model_sensitive_band,model_sensitive_band,caution,caution,28,29,,,22,22,,,2,0,0,high,materially_inflated,9,2 structurally suspect rows; rank moved materially after verification,,no
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,74,91,130,161,-56,-70,model_sensitive_band,outside_trust_headline,caution,caution,13,13,B=13; O=0; C=0; W=0,B=12; O=0; C=1; W=0,11,11,V=8; D=3; N=0; U=2,V=7; D=4; N=0; U=2,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,,no
Omar Bradley,https://en.wikipedia.org/wiki/Omar_Bradley,world_wars,81,108,242,352,-161,-244,model_sensitive_band,outside_trust_headline,caution,caution,13,10,,,12,9,,,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,revolutionary_napoleonic,102,184,78,140,24,44,outside_trust_headline,model_sensitive_band,caution,caution,13,14,,,11,11,,,0,2,0,high,materially_inflated,9,2 downgraded broad rows; rank moved materially after verification,,no
Georg von Küchler,https://en.wikipedia.org/wiki/Georg_von_K%C3%BCchler,world_wars,108,145,144,187,-36,-42,outside_trust_headline,outside_trust_headline,caution,caution,12,13,,,11,11,,,0,2,0,high,materially_inflated,9,2 downgraded broad rows; rank moved materially after verification,,no
Joseph Souham,https://en.wikipedia.org/wiki/Joseph_Souham,revolutionary_napoleonic,132,114,114,95,18,19,outside_trust_headline,outside_trust_headline,caution,moderate,8,9,,,7,8,,,0,1,0,high,materially_inflated,9,1 downgraded broad rows; rank moved materially after verification,,no
"Archduke Charles, Duke of Teschen",https://en.wikipedia.org/wiki/Archduke_Charles%2C_Duke_of_Teschen,revolutionary_napoleonic,144,243,146,258,-2,-15,outside_trust_headline,outside_trust_headline,caution,caution,27,28,,,20,20,,,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Valery Gerasimov,https://en.wikipedia.org/wiki/Valery_Gerasimov,contemporary,171,110,163,94,8,16,outside_trust_headline,outside_trust_headline,caution,caution,10,11,,,4,4,,,0,2,0,high,materially_inflated,9,2 downgraded broad rows; rank moved materially after verification,,no
Tommy Franks,https://en.wikipedia.org/wiki/Tommy_Franks,contemporary,177,190,296,340,-119,-150,outside_trust_headline,outside_trust_headline,caution,caution,15,13,,,5,3,,,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Stilicho,https://en.wikipedia.org/wiki/Stilicho,ancient,178,115,166,97,12,18,outside_trust_headline,outside_trust_headline,caution,caution,8,9,,,6,7,,,0,1,0,high,materially_inflated,9,1 downgraded broad rows; rank moved materially after verification,,no
Qutb ud-Din Aibak,https://en.wikipedia.org/wiki/Qutb_ud-Din_Aibak,medieval,193,135,139,72,54,63,outside_trust_headline,outside_trust_headline,caution,caution,7,8,,,6,7,,,0,1,0,high,materially_inflated,9,1 downgraded broad rows; rank moved materially after verification,,no
Hans Karl von Diebitsch,https://en.wikipedia.org/wiki/Hans_Karl_von_Diebitsch,long_nineteenth_century,195,132,175,109,20,23,outside_trust_headline,outside_trust_headline,caution,caution,7,8,,,5,6,,,0,1,0,high,materially_inflated,9,1 downgraded broad rows; rank moved materially after verification,,no
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,32,27,42,38,-10,-11,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,11,11,B=11; O=0; C=0; W=0,B=9; O=0; C=1; W=1,9,9,V=8; D=1; N=0; U=2,V=8; D=1; N=0; U=2,0,2,0,high,materially_inflated,8,2 downgraded broad rows; war-page reduction 1→0; campaign reduction 1→0; rank moved materially after verification,,no
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,revolutionary_napoleonic,120,236,103,203,17,33,outside_trust_headline,outside_trust_headline,caution,caution,37,37,,,28,29,,,2,1,0,high,materially_inflated,8,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,138,106,121,91,17,15,outside_trust_headline,outside_trust_headline,caution,caution,13,13,B=10; O=0; C=0; W=3,B=10; O=0; C=0; W=3,7,7,V=7; D=0; N=0; U=6,V=7; D=0; N=0; U=6,0,0,0,high,materially_inflated,8,rank moved materially after verification,,no
Nikolay Kamensky,https://en.wikipedia.org/wiki/Nikolay_Kamensky,revolutionary_napoleonic,175,196,162,171,13,25,outside_trust_headline,outside_trust_headline,caution,caution,11,12,,,8,8,,,0,1,0,high,materially_inflated,8,1 downgraded broad rows; rank moved materially after verification,,no
Bairam Khan,https://en.wikipedia.org/wiki/Bairam_Khan,early_modern,190,226,172,207,18,19,outside_trust_headline,outside_trust_headline,caution,caution,9,10,,,7,7,,,0,1,0,high,materially_inflated,8,1 downgraded broad rows; rank moved materially after verification,,no
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,11,12,8,9,3,3,robust_elite_core,robust_elite_core,high,very_high,28,29,B=25; O=0; C=0; W=3,B=24; O=0; C=1; W=4,26,26,V=24; D=2; N=0; U=2,V=25; D=1; N=0; U=3,1,1,0,moderate,mildly_inflated,7,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 4→3; campaign reduction 1→0,,no
Tolui,https://en.wikipedia.org/wiki/Tolui,medieval,60,32,141,57,-81,-25,model_sensitive_band,outside_trust_headline,caution,caution,10,9,B=7; O=0; C=0; W=3,,8,6,V=8; D=0; N=0; U=2,,0,1,0,high,materially_inflated,7,1 downgraded broad rows; rank moved materially after verification,,no
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,67,81,54,74,13,7,model_sensitive_band,model_sensitive_band,caution,caution,18,19,B=18; O=0; C=0; W=0,B=18; O=0; C=0; W=1,17,17,V=14; D=3; N=0; U=1,V=14; D=3; N=0; U=2,0,1,0,high,materially_inflated,7,1 downgraded broad rows; war-page reduction 1→0; rank moved materially after verification,,no
Laurent de Gouvion Saint-Cyr,https://en.wikipedia.org/wiki/Laurent_de_Gouvion_Saint-Cyr,revolutionary_napoleonic,118,210,98,180,20,30,outside_trust_headline,model_sensitive_band,caution,caution,20,20,,,16,16,,,1,0,0,high,materially_inflated,7,1 structurally suspect rows; rank moved materially after verification,,no
Jebe,https://en.wikipedia.org/wiki/Jebe,medieval,149,152,257,262,-108,-110,outside_trust_headline,outside_trust_headline,caution,caution,8,7,,,8,6,,,0,1,0,high,materially_inflated,7,1 downgraded broad rows; rank moved materially after verification,,no
"Charles William Ferdinand, Duke of Brunswick",https://en.wikipedia.org/wiki/Charles_William_Ferdinand%2C_Duke_of_Brunswick,revolutionary_napoleonic,197,329,183,308,14,21,outside_trust_headline,outside_trust_headline,caution,caution,12,12,,,9,9,,,0,1,0,high,materially_inflated,7,1 downgraded broad rows; rank moved materially after verification,,no
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,27,19,59,49,-32,-30,high_confidence_upper_band,model_sensitive_band,moderate,moderate,13,12,B=13; O=0; C=0; W=0,B=12; O=0; C=0; W=0,9,8,V=8; D=1; N=0; U=4,V=7; D=1; N=0; U=4,0,1,0,high,materially_inflated,6,1 downgraded broad rows; rank moved materially after verification,multiple surviving battle pages still unresolved,no
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,30,48,38,60,-8,-12,model_sensitive_band,model_sensitive_band,caution,caution,15,14,B=12; O=0; C=0; W=3,B=12; O=0; C=1; W=1,15,13,V=12; D=3; N=0; U=0,V=10; D=3; N=0; U=1,0,1,0,high,materially_inflated,6,1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,,no
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,31,25,25,19,6,6,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,16,16,B=13; O=0; C=0; W=3,B=13; O=0; C=0; W=3,12,12,V=12; D=0; N=0; U=4,V=12; D=0; N=0; U=4,0,0,0,moderate,mildly_inflated,6,rank moved materially after verification,clean record with unresolved battle outcomes,no
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,41,41,48,64,-7,-23,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,22,22,B=20; O=2; C=0; W=0,B=19; O=3; C=0; W=0,15,14,V=12; D=2; N=1; U=7,V=11; D=2; N=1; U=8,0,1,0,high,materially_inflated,6,1 downgraded broad rows; rank moved materially after verification,multiple surviving battle pages still unresolved,no
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,44,53,39,47,5,6,model_sensitive_band,model_sensitive_band,caution,caution,41,40,B=40; O=0; C=0; W=1,B=39; O=0; C=0; W=1,32,32,V=31; D=0; N=1; U=9,V=31; D=0; N=1; U=8,0,1,0,moderate,high_priority_manual_audit,6,1 downgraded broad rows; rank moved materially after verification,clean record with unresolved battle outcomes; multiple surviving battle pages still unresolved,yes
Kirill Meretskov,https://en.wikipedia.org/wiki/Kirill_Meretskov,world_wars,85,119,85,115,0,4,model_sensitive_band,model_sensitive_band,caution,caution,13,14,,,10,11,,,0,3,0,moderate,mildly_inflated,6,3 downgraded broad rows,,no
Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,115,112,108,106,7,6,outside_trust_headline,outside_trust_headline,caution,caution,21,20,B=21; O=0; C=0; W=0,B=20; O=0; C=0; W=0,10,10,V=10; D=0; N=0; U=11,V=10; D=0; N=0; U=10,0,0,0,moderate,mildly_inflated,6,rank moved materially after verification,,no
Sidney Smith,https://en.wikipedia.org/wiki/Sidney_Smith_(Royal_Navy_officer),revolutionary_napoleonic,130,166,153,188,-23,-22,outside_trust_headline,outside_trust_headline,caution,caution,10,11,,,8,7,,,0,0,0,high,materially_inflated,6,rank moved materially after verification,,no
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,12,14,9,12,3,2,robust_elite_core,robust_elite_core,very_high,very_high,38,39,B=36; O=0; C=0; W=2,B=34; O=0; C=0; W=5,35,33,V=28; D=7; N=0; U=3,V=26; D=7; N=0; U=6,1,2,0,moderate,mildly_inflated,5,1 structurally suspect rows; 2 downgraded broad rows; war-page reduction 5→2,,no
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,long_nineteenth_century,62,51,124,80,-62,-29,model_sensitive_band,outside_trust_headline,caution,caution,12,11,B=8; O=0; C=0; W=4,,8,7,V=7; D=1; N=0; U=4,,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,77,85,62,76,15,9,model_sensitive_band,model_sensitive_band,caution,caution,20,20,B=20; O=0; C=0; W=0,B=20; O=0; C=0; W=0,17,17,V=16; D=1; N=0; U=3,V=16; D=1; N=0; U=3,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,83,67,64,55,19,12,model_sensitive_band,model_sensitive_band,caution,caution,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,8,8,V=8; D=0; N=0; U=2,V=8; D=0; N=0; U=2,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,early_modern,101,136,86,114,15,22,outside_trust_headline,model_sensitive_band,caution,caution,14,14,,,12,12,,,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,114,158,94,133,20,25,outside_trust_headline,model_sensitive_band,caution,caution,22,22,B=21; O=0; C=0; W=1,B=21; O=0; C=0; W=1,21,21,V=15; D=6; N=0; U=1,V=15; D=6; N=0; U=1,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Ōyama Iwao,https://en.wikipedia.org/wiki/%C5%8Cyama_Iwao,long_nineteenth_century,117,66,102,53,15,13,outside_trust_headline,outside_trust_headline,caution,caution,10,10,B=8; O=0; C=0; W=2,,8,8,V=8; D=0; N=0; U=2,,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,ancient,161,78,147,69,14,9,outside_trust_headline,outside_trust_headline,caution,caution,9,9,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=2,8,8,V=8; D=0; N=0; U=1,V=8; D=0; N=0; U=1,0,0,0,high,materially_inflated,5,rank moved materially after verification,,no
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,50,56,51,54,-1,2,model_sensitive_band,model_sensitive_band,caution,moderate,12,12,B=9; O=3; C=0; W=0,B=9; O=2; C=1; W=0,12,12,V=12; D=0; N=0; U=0,V=12; D=0; N=0; U=0,1,0,0,stable,mildly_inflated,4,1 structurally suspect rows; campaign reduction 1→0,,no
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,68,64,61,66,7,-2,model_sensitive_band,model_sensitive_band,caution,caution,13,13,B=12; O=0; C=0; W=1,B=11; O=0; C=1; W=1,11,11,V=10; D=1; N=0; U=2,V=10; D=1; N=0; U=2,0,1,0,moderate,mildly_inflated,4,1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,,no
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,35,38,36,41,-1,-3,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,20,20,B=19; O=0; C=0; W=1,B=17; O=0; C=0; W=3,18,16,V=16; D=2; N=0; U=2,V=14; D=2; N=0; U=4,1,1,0,moderate,mildly_inflated,3,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 3→1,,no
